CCDS_r9	CCDS_r11	CCDS_r12	CCDS_r14	CCDS_r15	0.1%RVIS	0.1%RVIS%	EdgeCase	OEratio%tile
SCGB1A1	SCGB1A1	SCGB1A1	SCGB1A1	SCGB1A1	0.057118534	57.99716914	Y	14.16526138
TUT1	TUT1	TUT1	TUT1	TUT1	-0.837696902	11.45317292	N	41.33943628
MTA2	MTA2	MTA2	MTA2	MTA2	-1.023168368	7.944090587	N	12.02119971
EML3	EML3	EML3	EML3	EML3	-0.843147538	11.2762444	N	20.2902915
ROM1	ROM1	ROM1	ROM1	ROM1	-0.224023033	37.4321774	N	55.83594315
B3GAT3	B3GAT3	B3GAT3	B3GAT3	B3GAT3	-0.203796826	38.81811748	N	84.41941701
GANAB	GANAB	GANAB	GANAB	GANAB	-0.661316159	16.02382637	N	16.90556492
INTS5	INTS5	INTS5	INTS5	INTS5	-0.971800989	8.946685539	N	18.26668273
C11orf48	C11orf48	C11orf48	C11orf48	C11orf48	0.593509966	82.51356452	N	80.58299205
UBXN1	UBXN1	UBXN1	UBXN1	UBXN1	0.481458261	79.03986789	N	44.75427608
BSCL2	BSCL2	BSCL2	BSCL2	BSCL2	-0.179930907	40.35739561	N	85.35292701
GNG3	GNG3	GNG3	GNG3	GNG3	0.167351552	65.04482189	N	Unassessed
TTC9C	TTC9C	TTC9C	TTC9C	TTC9C	-0.317668748	31.45789101	Y	24.6928451
ZBTB3	ZBTB3	ZBTB3	ZBTB3	ZBTB3	0.220536484	68.38287332	N	35.84678391
TAF6L	TAF6L	TAF6L	TAF6L	TAF6L	-0.356299879	29.31115829	N	18.03179957
TMEM179B	TMEM179B	TMEM179B	TMEM179B	TMEM179B	-0.163345027	41.24793583	Y	87.62346423
NXF1	NXF1	NXF1	NXF1	NXF1	-0.66859065	15.76433121	N	21.98265478
STX5	STX5	STX5	STX5	STX5	-0.358119787	29.16371786	N	20.05540834
SLC3A2	SLC3A2	SLC3A2	SLC3A2	SLC3A2	-0.310388054	32.14791224	N	60.59985546
CHRM1	CHRM1	CHRM1	CHRM1	CHRM1	-0.692458599	14.96815287	N	2.49337509
SLC22A6	SLC22A6	SLC22A6	SLC22A6	SLC22A6	-0.490397599	22.50530786	N	32.08263069
SLC22A8	SLC22A8	SLC22A8	SLC22A8	SLC22A8	-0.332434268	30.74427931	N	75.31317755
SLC22A9	SLC22A9	SLC22A9	SLC22A9	SLC22A9	0.180083178	66.16536919	N	59.3110094
HRASLS5	HRASLS5	HRASLS5	HRASLS5	HRASLS5	1.484536216	95.31729181	N	98.75331245
LGALS12	LGALS12	LGALS12	LGALS12	LGALS12	0.663285274	84.55414013	N	95.19392917
HRASLS2	HRASLS2	HRASLS2	HRASLS2	HRASLS2	0.082802743	60.09082331	Y	93.15827511
PLA2G16	PLA2G16	PLA2G16	PLA2G16	PLA2G16	-0.029247611	51.40363293	Y	12.05131294
RTN3	RTN3	RTN3	RTN3	RTN3	-0.837696902	11.45317292	N	72.6391231
MARK2	MARK2	MARK2	MARK2	MARK2	-0.712684326	14.49634348	N	19.36280414
RCOR2	RCOR2	RCOR2	RCOR2	RCOR2	-0.514264485	21.41424864	N	11.31655023
NAA40	NAA40	NAA40	NAA40	NAA40	-0.47017169	23.25430526	N	20.63358227
COX8A	COX8A	COX8A	COX8A	COX8A	0.257356108	69.83368719	Y	6.468320887
OTUB1	OTUB1	OTUB1	OTUB1	OTUB1	-0.007201372	53.19061099	Y	3.956877861
FLRT1	FLRT1	FLRT1	FLRT1	FLRT1	-0.705410796	14.77942911	N	28.43893038
STIP1	STIP1	STIP1	STIP1	STIP1	-0.558357437	19.54470394	N	6.40207179
FERMT3	FERMT3	FERMT3	FERMT3	FERMT3	-0.194700582	39.24274593	N	24.94579619
NUDT22	NUDT22	NUDT22	NUDT22	NUDT22	0.350995466	74.37485256	N	80.22765599
VEGFB	VEGFB	VEGFB	VEGFB	VEGFB	0.395088462	76.15003539	N	25.34329077
FKBP2	FKBP2	FKBP2	FKBP2	FKBP2	0.058937498	58.26256192	Y	11.27439171
PLCB3	PLCB3	PLCB3	PLCB3	PLCB3	-0.637452658	16.73743808	N	19.24837389
BAD	BAD	BAD	BAD	BAD	-0.317668748	31.45789101	Y	3.360635991
GPR137	GPR137	GPR137	GPR137	GPR137	-0.424258538	25.56027365	N	24.10262587
KCNK4	KCNK4	KCNK4	KCNK4	KCNK4	-0.203796826	38.81811748	N	5.589014695
TRMT112	TRMT112	TRMT112	TRMT112	TRMT112	-0.075159878	47.78839349	Y	9.49168875
PRDX5	PRDX5	PRDX5	PRDX5	PRDX5	0.415317661	76.81056853	N	98.9460371
CCDC88B	CCDC88B	CCDC88B	CCDC88B	CCDC88B	0.282839608	71.08398207	N	52.43314864
RPS6KA4	RPS6KA4	RPS6KA4	RPS6KA4	RPS6KA4	-0.312207497	32.05944798	N	9.395326427
SLC22A11	SLC22A11	SLC22A11	SLC22A11	SLC22A11	0.023941474	55.75607455	N	58.64851843
SLC22A12	SLC22A12	SLC22A12	SLC22A12	SLC22A12	-1.153638777	6.233781552	N	23.59070104
NRXN2	NRXN2	NRXN2	NRXN2	NRXN2	-2.164449385	1.427223402	N	43.37509034
PYGM	PYGM	PYGM	PYGM	PYGM	-0.187428709	39.31351734	N	72.68730426
SF1	SF1	SF1	SF1	SF1	-0.868835007	10.65109696	N	7.335581788
MAP4K2	MAP4K2	MAP4K2	MAP4K2	MAP4K2	-1.03794674	7.832035858	N	57.38978559
MEN1	MEN1	MEN1	MEN1	MEN1	-0.26993514	34.59542345	N	14.52059745
EHD1	EHD1	EHD1	EHD1	EHD1	-1.375949569	4.393724935	N	12.14767526
PPP2R5B	PPP2R5B	PPP2R5B	PPP2R5B	PPP2R5B	-0.538132194	20.26421326	N	35.23849675
GPHA2	GPHA2	GPHA2	GPHA2	GPHA2	-0.251530012	35.42108988	Y	47.25969646
BATF2	BATF2	BATF2	BATF2	BATF2	0.17280645	65.75843359	N	78.49313418
ARL2	ARL2	ARL2	ARL2	ARL2	-0.073340031	48.11866006	Y	37.64755481
SNX15	SNX15	SNX15	SNX15	SNX15	0.196671391	67.19155461	N	55.79378463
CDCA5	CDCA5	CDCA5	CDCA5	CDCA5	0.148941568	64.31941496	Y	35.86485184
ZFPL1	ZFPL1	ZFPL1	ZFPL1	ZFPL1	0.308721233	72.59966973	N	94.73620814
VPS51	VPS51	VPS51	VPS51	VPS51	-0.644723694	16.52512385	N	36.29245965
ZNHIT2	ZNHIT2	ZNHIT2	ZNHIT2	ZNHIT2	-0.115612493	45.12856806	N	65.64080944
FAU	FAU	FAU	FAU	FAU	0.235309407	68.71903751	Y	56.63695495
MRPL49	MRPL49	MRPL49	MRPL49	MRPL49	-0.007201372	53.19061099	Y	31.94410985
SYVN1	SYVN1	SYVN1	SYVN1	SYVN1	-0.734731259	14.01863647	N	38.00289087
POLA2	POLA2	POLA2	POLA2	POLA2	-0.777005578	12.9747582	N	34.8590701
CDC42EP2	CDC42EP2	CDC42EP2	CDC42EP2	CDC42EP2	0.106667882	61.73036093	N	28.49313418
DPF2	DPF2	DPF2	DPF2	DPF2	-0.449946534	24.00330267	Y	3.222115153
TIGD3	TIGD3	TIGD3	TIGD3	TIGD3	-0.424258538	25.56027365	N	86.50927487
FRMD8	FRMD8	FRMD8	FRMD8	FRMD8	-0.154246007	42.22694032	N	19.91086485
LTBP3	LTBP3	LTBP3	LTBP3	LTBP3	-0.93133804	9.613116301	N	53.30643219
SSSCA1	SSSCA1	SSSCA1	SSSCA1	SSSCA1	0.03689118	56.64071715	Y	69.00746808
KCNK7	KCNK7	KCNK7	KCNK7	KCNK7	0.420771676	77.15852795	N	73.21127439
MAP3K11	MAP3K11	MAP3K11	MAP3K11	MAP3K11	-0.707227564	14.71455532	N	56.50445676
SIPA1	SIPA1	SIPA1	SIPA1	SIPA1	-0.08446956	47.15145081	N	80.59503734
KAT5	KAT5	KAT5	KAT5	KAT5	-0.780646273	12.77423921	N	7.600578174
RNASEH2C	RNASEH2C	RNASEH2C	RNASEH2C	RNASEH2C	-0.053113545	49.38664779	Y	11.90676945
OVOL1	OVOL1	OVOL1	OVOL1	OVOL1	-0.271755481	34.31823543	N	34.07612623
SNX32	SNX32	SNX32	SNX32	SNX32	-0.821100135	11.88369899	N	55.82389786
CFL1	CFL1	CFL1	CFL1	CFL1	-0.185391282	39.67916962	Y	0.295109612
MUS81	MUS81	MUS81	MUS81	MUS81	0.778977686	87.21396556	N	54.0953987
EFEMP2	EFEMP2	EFEMP2	EFEMP2	EFEMP2	-0.600630256	18.06440198	N	43.24259215
CTSW	CTSW	CTSW	CTSW	CTSW	-0.754958418	13.57631517	N	78.54131535
FIBP	FIBP	FIBP	FIBP	FIBP	-0.734731259	14.01863647	N	17.65237292
FOSL1	FOSL1	FOSL1	FOSL1	FOSL1	0.016664174	55.21939137	Y	43.7966755
C11orf68	C11orf68	C11orf68	C11orf68	C11orf68	0.569646743	81.88841708	N	45.69380872
DRAP1	DRAP1	DRAP1	DRAP1	DRAP1	-0.383807564	27.41802312	Y	49.92170561
EIF1AD	EIF1AD	EIF1AD	EIF1AD	EIF1AD	0.525552348	80.57914603	N	90.74921706
BANF1	BANF1	BANF1	BANF1	BANF1	-0.009020804	52.8544468	Y	2.884847025
CATSPER1	CATSPER1	CATSPER1	CATSPER1	CATSPER1	-0.479490344	22.81788158	N	65.06263551
PACS1	PACS1	PACS1	PACS1	PACS1	-1.087493118	7.106628922	N	10.65405926
KLC2	KLC2	KLC2	KLC2	KLC2	-0.933156985	9.54824251	N	18.33293182
CNIH2	CNIH2	CNIH2	CNIH2	CNIH2	-0.119252484	44.53880632	Y	2.011563479
YIF1A	YIF1A	YIF1A	YIF1A	YIF1A	-0.602450568	17.91106393	N	75.65646832
CD248	CD248	CD248	CD248	CD248	0.317821209	72.81198396	N	60.8588292
BRMS1	BRMS1	BRMS1	BRMS1	BRMS1	-0.137658575	43.57159707	N	63.84003854
B3GNT1	B3GNT1	B3GNT1	B3GNT1	B3GNT1	-0.273576253	33.97027601	Y	26.04794026
SLC29A2	SLC29A2	SLC29A2	SLC29A2	SLC29A2	-0.600630256	18.06440198	N	31.49843411
NPAS4	NPAS4	NPAS4	NPAS4	NPAS4	-0.663133267	15.94715735	N	39.09901229
MRPL11	MRPL11	MRPL11	MRPL11	MRPL11	-0.05129383	49.75819769	Y	59.19657914
DPP3	DPP3	DPP3	DPP3	DPP3	0.874458024	88.88888889	N	78.85449289
BBS1	BBS1	BBS1	BBS1	BBS1	-0.264476624	34.8844067	N	79.58323296
CTSF	CTSF	CTSF	CTSF	CTSF	0.486911049	79.46449634	N	27.91496025
CCDC87	CCDC87	CCDC87	CCDC87	CCDC87	0.202129237	67.42745931	N	78.24018309
CCS	CCS	CCS	CCS	CCS	-0.22584292	37.32012267	N	52.20428812
RBM14	RBM14	RBM14	RBM14	RBM14	-0.710864321	14.5730125	N	24.21103349
RBM4B	RBM4B	RBM4B	RBM4B	RBM4B	-0.53631094	20.53550366	N	37.17176584
SPTBN2	SPTBN2	SPTBN2	SPTBN2	SPTBN2	-4.229202843	0.141542817	N	39.90604674
RCE1	RCE1	RCE1	RCE1	RCE1	-0.405853867	26.23260203	Y	3.059503734
PC	PC	PC	PC	PC	-1.74358502	2.394432649	N	13.63526861
SYT12	SYT12	SYT12	SYT12	SYT12	-0.310388054	32.14791224	N	62.12960732
RHOD	RHOD	RHOD	RHOD	RHOD	0.148941568	64.31941496	Y	64.20139725
ADRBK1	ADRBK1	ADRBK1	ADRBK1	ADRBK1	-1.155457828	6.168907761	N	10.57576488
SSH3	SSH3	SSH3	SSH3	SSH3	-0.771553417	13.15168672	N	64.24355577
POLD4	POLD4	POLD4	POLD4	POLD4	0.191216164	66.57230479	Y	20.11563479
RAD9A	RAD9A	RAD9A	RAD9A	RAD9A	-0.334253673	30.70299599	N	62.593351
PPP1CA	PPP1CA	PPP1CA	PPP1CA	PPP1CA	-0.361761279	28.6329323	Y	0.542038063
TBC1D10C	TBC1D10C	TBC1D10C	TBC1D10C	TBC1D10C	-0.846787714	11.05803255	N	11.88870152
CORO1B	CORO1B	CORO1B	CORO1B	CORO1B	-0.843147538	11.2762444	N	41.55022886
GPR152	GPR152	GPR152	GPR152	GPR152	0.536463361	81.06864827	N	84.84702481
CABP4	CABP4	CABP4	CABP4	CABP4	-0.047654689	50.22410946	N	72.78366659
AIP	AIP	AIP	AIP	AIP	-0.135838822	43.77211607	N	38.09925319
CDK2AP2	CDK2AP2	CDK2AP2	CDK2AP2	CDK2AP2	0.101211609	60.95777306	N	Unassessed
CABP2	CABP2	CABP2	CABP2	CABP2	0.283038099	71.26680821	N	71.75379427
NDUFV1	NDUFV1	NDUFV1	NDUFV1	NDUFV1	-1.48620052	3.632932295	N	40.32160925
ACY3	ACY3	ACY3	ACY3	ACY3	-0.244249595	36.17008728	N	50.23488316
NDUFS8	NDUFS8	NDUFS8	NDUFS8	NDUFS8	-0.205617011	38.57631517	Y	31.07684895
TCIRG1	TCIRG1	TCIRG1	TCIRG1	TCIRG1	-1.124330456	6.575843359	N	48.80149362
CHKA	CHKA	CHKA	CHKA	CHKA	-0.426079032	25.36565228	N	31.61888702
C11orf24	C11orf24	C11orf24	C11orf24	C11orf24	0.156217551	64.82071243	N	44.49530234
LRP5	LRP5	LRP5	LRP5	LRP5	-3.724445291	0.241802312	N	22.83184775
PPP6R3	PPP6R3	PPP6R3	PPP6R3	PPP6R3	0.044168103	57.40740741	N	47.18140207
GAL	GAL	GAL	GAL	GAL	0.813985927	87.81552253	N	80.07708986
MTL5	MTL5	MTL5	MTL5	MTL5	0.551232944	81.48148148	N	68.81474344
CPT1A	CPT1A	CPT1A	CPT1A	CPT1A	-0.483123186	22.78249587	N	33.41965791
MRPL21	MRPL21	MRPL21	MRPL21	MRPL21	0.949904335	90.00943619	N	55.39026741
IGHMBP2	IGHMBP2	IGHMBP2	IGHMBP2	IGHMBP2	0.859723513	88.57041755	N	67.22476512
MRGPRF	MRGPRF	MRGPRF	MRGPRF	MRGPRF	-0.203796826	38.81811748	N	37.46687545
TPCN2	TPCN2	TPCN2	TPCN2	TPCN2	-0.343575389	29.62373201	N	54.71573115
MYEOV	MYEOV	MYEOV	MYEOV	MYEOV	1.953079981	97.54659118	N	93.14622982
CCND1	CCND1	CCND1	CCND1	CCND1	-0.317668748	31.45789101	Y	6.504456757
ORAOV1	ORAOV1	ORAOV1	ORAOV1	ORAOV1	0.080983847	59.76055674	Y	93.86894724
FADD	FADD	FADD	FADD	FADD	0.058937498	58.26256192	Y	99.71693568
CTTN	CTTN	CTTN	CTTN	CTTN	-0.50880549	21.72682236	N	61.65381836
DHCR7	DHCR7	DHCR7	DHCR7	DHCR7	-0.861560326	10.89289927	N	21.00698627
NADSYN1	NADSYN1	NADSYN1	NADSYN1	NADSYN1	-0.20947578	37.78013682	N	43.16429776
FAM86C1	FAM86C1	FAM86C1	FAM86C1	FAM86C1	0.505321956	80.00707714	N	59.11828475
RNF121	RNF121	RNF121	RNF121	RNF121	-0.494039303	22.09247464	N	11.52734281
IL18BP	IL18BP	IL18BP	IL18BP	IL18BP	0.260991686	70.25831564	N	93.7304264
LRTOMT	LRTOMT	LRTOMT	LRTOMT	LRTOMT	0.330767508	73.53739089	N	61.43700313
LAMTOR1	LAMTOR1	LAMTOR1	LAMTOR1	LAMTOR1	-0.141298762	42.87567823	Y	60.87087449
ANAPC15	ANAPC15	ANAPC15	ANAPC15	ANAPC15	0.079165051	59.43029016	Y	39.06287642
FOLR1	FOLR1	FOLR1	FOLR1	FOLR1	0.459411326	78.28497287	N	72.35605878
FOLR2	FOLR2	FOLR2	FOLR2	FOLR2	0.060756528	58.52795471	Y	81.43820766
INPPL1	INPPL1	INPPL1	INPPL1	INPPL1	-1.633317116	2.842651569	N	34.53384727
CLPB	CLPB	CLPB	CLPB	CLPB	0.248041348	69.61547535	N	34.64827752
PDE2A	PDE2A	PDE2A	PDE2A	PDE2A	-1.085675268	7.147912243	N	5.757648759
ARAP1	ARAP1	ARAP1	ARAP1	ARAP1	-1.446087194	3.933710781	N	43.09202602
FCHSD2	FCHSD2	FCHSD2	FCHSD2	FCHSD2	-0.88906181	10.36801132	N	26.39725367
P2RY2	P2RY2	P2RY2	P2RY2	P2RY2	0.665103516	84.6131163	N	49.9337509
P2RY6	P2RY6	P2RY6	P2RY6	P2RY6	-0.890882376	10.30313753	N	13.41845338
ARHGEF17	ARHGEF17	ARHGEF17	ARHGEF17	ARHGEF17	-0.748045379	13.74734607	N	58.1245483
RELT	RELT	RELT	RELT	RELT	0.001895464	54.03397028	N	65.25536015
RAB6A	RAB6A	RAB6A	RAB6A	RAB6A	0.103030231	61.2762444	Y	2.415080703
CHCHD8	COA4	COA4	COA4	COA4	0.501689326	79.7888653	Y	Unassessed
PAAF1	PAAF1	PAAF1	PAAF1	PAAF1	0.240763792	69.36777542	N	47.00674536
DNAJB13	DNAJB13	DNAJB13	DNAJB13	DNAJB13	0.396906589	76.30927105	N	73.30161407
UCP2	UCP2	UCP2	UCP2	UCP2	0.108486928	61.90728946	N	97.9583233
UCP3	UCP3	UCP3	UCP3	UCP3	0.332586472	73.61405992	N	62.54516984
P4HA3	P4HA3	P4HA3	P4HA3	P4HA3	0.066214104	58.95848077	N	76.86702
PGM2L1	PGM2L1	PGM2L1	PGM2L1	PGM2L1	0.50895761	80.20169851	N	54.31221392
KCNE3	KCNE3	KCNE3	KCNE3	KCNE3	0.191216164	66.57230479	Y	92.06817634
POLD3	POLD3	POLD3	POLD3	POLD3	0.575097644	82.1656051	N	55.86003373
CHRDL2	CHRDL2	CHRDL2	CHRDL2	CHRDL2	0.378498378	75.58386412	N	31.47434353
SLCO2B1	SLCO2B1	SLCO2B1	SLCO2B1	SLCO2B1	-0.483123186	22.78249587	N	36.00337268
RPS3	RPS3	RPS3	RPS3	RPS3	0.325313577	73.11276244	Y	0.999759094
GDPD5	GDPD5	GDPD5	GDPD5	GDPD5	-1.284117362	5.113234253	N	40.88171525
SERPINH1	SERPINH1	SERPINH1	SERPINH1	SERPINH1	-0.602450568	17.91106393	N	15.18308841
MOGAT2	MOGAT2	MOGAT2	MOGAT2	MOGAT2	0.97558591	90.37508846	N	31.97422308
UVRAG	UVRAG	UVRAG	UVRAG	UVRAG	-0.374708069	28.15522529	N	62.64755481
WNT11	WNT11	WNT11	WNT11	WNT11	-0.093566408	46.7386176	N	23.18116117
PRKRIR	PRKRIR	PRKRIR	PRKRIR	PRKRIR	-0.556537043	19.72753008	N	13.11129848
C11orf30	C11orf30	C11orf30	C11orf30	C11orf30	-1.947491103	1.875442321	N	36.27439171
LRRC32	LRRC32	LRRC32	LRRC32	LRRC32	-1.214341017	5.67940552	N	68.7304264
TSKU	TSKU	TSKU	TSKU	TSKU	0.532823122	80.96249115	N	63.4606119
ACER3	ACER3	ACER3	ACER3	ACER3	0.058937498	58.26256192	Y	5.733558179
CAPN5	CAPN5	CAPN5	CAPN5	CAPN5	-0.903841325	10.14390186	N	53.77619851
GDPD4	GDPD4	GDPD4	GDPD4	GDPD4	1.730733976	96.56758669	N	66.0081908
PAK1	PAK1	PAK1	PAK1	PAK1	-0.60427181	17.74593064	N	11.59961455
AQP11	AQP11	AQP11	AQP11	AQP11	0.505321956	80.00707714	N	58.2450012
CLNS1A	CLNS1A	CLNS1A	CLNS1A	CLNS1A	-0.229483771	36.86010852	Y	18.83883402
RSF1	RSF1	RSF1	RSF1	RSF1	0.387604191	75.69591885	N	32.87159721
C11orf67	AAMDC	AAMDC	AAMDC	AAMDC	0.281220278	71.07808445	Y	Unassessed
KCTD14	KCTD14	KCTD14	KCTD14	KCTD14	-0.314027422	31.9297004	N	49.40375813
THRSP	THRSP	THRSP	THRSP	THRSP	0.148941568	64.31941496	Y	94.00144543
NDUFC2	NDUFC2	NDUFC2	NDUFC2	NDUFC2	0.125076652	62.7388535	Y	22.3319682
ALG8	ALG8	ALG8	ALG8	ALG8	0.486911049	79.46449634	N	67.00794989
GAB2	GAB2	GAB2	GAB2	GAB2	-1.041578376	7.773059684	N	52.5475789
NARS2	NARS2	NARS2	NARS2	NARS2	-0.288341872	33.41589998	N	56.56468321
PRCP	PRCP	PRCP	PRCP	PRCP	0.198490371	67.30360934	N	45.27824621
C11orf82	C11orf82	C11orf82	C11orf82	C11orf82	0.161677043	64.96225525	N	90.24933751
RAB30	RAB30	RAB30	RAB30	RAB30	-0.09720619	46.20193442	Y	23.7593351
ANKRD42	ANKRD42	ANKRD42	ANKRD42	ANKRD42	0.062575634	58.74026893	N	68.62201879
CCDC90B	CCDC90B	CCDC90B	CCDC90B	CCDC90B	0.549415813	81.38122199	N	64.18935196
TMEM126B	TMEM126B	TMEM126B	TMEM126B	TMEM126B	0.393270925	76.04977589	N	96.82606601
TMEM126A	TMEM126A	TMEM126A	TMEM126A	TMEM126A	0.461228372	78.46190139	N	67.46567092
CCDC89	CCDC89	CCDC89	CCDC89	CCDC89	-0.314027422	31.9297004	N	34.94940978
CCDC83	CCDC83	CCDC83	CCDC83	CCDC83	1.129924507	92.23283793	N	51.49963864
PICALM	PICALM	PICALM	PICALM	PICALM	-0.490397599	22.50530786	N	19.48927969
EED	EED	EED	EED	EED	-0.427900189	25.14744043	Y	8.901469525
C11orf73	C11orf73	C11orf73	C11orf73	C11orf73	0.03689118	56.64071715	Y	33.93158275
CCDC81	CCDC81	CCDC81	CCDC81	CCDC81	1.155610133	92.59259259	N	61.34064081
ME3	ME3	ME3	ME3	ME3	-0.821100135	11.88369899	N	23.12093471
PRSS23	PRSS23	PRSS23	PRSS23	PRSS23	0.042348793	57.31304553	N	46.24186943
FZD4	FZD4	FZD4	FZD4	FZD4	-0.334253673	30.70299599	N	79.46278005
TMEM135	TMEM135	TMEM135	TMEM135	TMEM135	0.997633954	90.65227648	N	40.22524693
RAB38	RAB38	RAB38	RAB38	RAB38	0.305084559	72.22811984	N	95.42278969
CTSC	CTSC	CTSC	CTSC	CTSC	-0.446304853	24.33356924	N	37.70175861
GRM5	GRM5	GRM5	GRM5	GRM5	-1.263883952	5.260674687	N	20.91664659
TYR	TYR	TYR	TYR	TYR	-0.951568548	9.271054494	N	68.9171284
NOX4	NOX4	NOX4	NOX4	NOX4	0.112125503	62.09601321	N	39.73139003
NAALAD2	NAALAD2	NAALAD2	NAALAD2	NAALAD2	0.068033485	59.0351498	N	36.58756926
CHORDC1	CHORDC1	CHORDC1	CHORDC1	CHORDC1	0.080983847	59.76055674	Y	39.80366177
MTNR1B	MTNR1B	MTNR1B	MTNR1B	MTNR1B	-0.021969881	52.14673272	N	75.83714768
SLC36A4	SLC36A4	SLC36A4	SLC36A4	SLC36A4	0.132352165	63.48785091	N	78.49915683
C11orf75	C11orf75	SMCO4	SMCO4	SMCO4	-0.009020804	52.8544468	Y	3.041435799
TAF1D	TAF1D	TAF1D	TAF1D	TAF1D	0.260991686	70.25831564	N	87.16574319
C11orf54	C11orf54	C11orf54	C11orf54	C11orf54	0.349177632	74.18023119	N	93.58588292
MED17	MED17	MED17	MED17	MED17	-0.778825328	12.88039632	N	16.77306673
PANX1	PANX1	PANX1	PANX1	PANX1	0.352813824	74.49280491	N	58.17875211
GPR83	GPR83	GPR83	GPR83	GPR83	-0.26629572	34.81953291	N	55.74560347
MRE11A	MRE11A	MRE11A	MRE11A	MRE11A	0.044168103	57.40740741	N	55.71549024
ANKRD49	ANKRD49	ANKRD49	ANKRD49	ANKRD49	-0.229483771	36.86010852	Y	42.87521079
KDM4D	KDM4D	KDM4D	KDM4D	KDM4D	0.64123826	83.97617363	N	44.63382318
SESN3	SESN3	SESN3	SESN3	SESN3	-0.317668748	31.45789101	Y	11.98506384
CEP57	CEP57	CEP57	CEP57	CEP57	-0.045835247	50.34206181	N	78.02939051
MTMR2	MTMR2	MTMR2	MTMR2	MTMR2	0.330767508	73.53739089	N	42.04408576
CCDC82	CCDC82	CCDC82	CCDC82	CCDC82	0.821252311	88.01604152	N	96.94049627
JRKL	JRKL	JRKL	JRKL	JRKL	-0.560178693	19.30879925	N	64.03276319
TMEM133	TMEM133	TMEM133	TMEM133	TMEM133	0.080983847	59.76055674	Y	95.69380872
TRPC6	TRPC6	TRPC6	TRPC6	TRPC6	-1.285933373	5.083746167	N	12.64153216
ANGPTL5	ANGPTL5	ANGPTL5	ANGPTL5	ANGPTL5	0.374860183	75.43052607	N	68.1703204
C11orf70	C11orf70	C11orf70	C11orf70	C11orf70	-0.229483771	36.86010852	Y	50.83714768
YAP1	YAP1	YAP1	YAP1	YAP1	-0.271755481	34.31823543	N	32.31149121
BIRC3	BIRC3	BIRC3	BIRC3	BIRC3	-0.534490515	20.70063694	N	82.41387617
BIRC2	BIRC2	BIRC2	BIRC2	BIRC2	-0.246069119	36.06982779	N	85.62996868
MMP7	MMP7	MMP7	MMP7	MMP7	0.330767508	73.53739089	N	64.59286919
MMP20	MMP20	MMP20	MMP20	MMP20	1.423841958	94.96933239	N	77.70416767
MMP27	MMP27	MMP27	MMP27	MMP27	1.179479654	92.79311158	N	59.82895688
MMP8	MMP8	MMP8	MMP8	MMP8	1.576373448	95.7537155	N	85.4854252
MMP10	MMP10	MMP10	MMP10	MMP10	1.13538281	92.30360934	N	73.8255842
MMP1	MMP1	MMP1	MMP1	MMP1	0.733063566	86.27034678	N	94.37484943
MMP3	MMP3	MMP3	MMP3	MMP3	-0.664951379	15.91177164	N	44.24837389
MMP13	MMP13	MMP13	MMP13	MMP13	-0.955204708	9.170794999	N	57.08865334
DCUN1D5	DCUN1D5	DCUN1D5	DCUN1D5	DCUN1D5	-0.009020804	52.8544468	Y	56.07684895
PDGFD	PDGFD	PDGFD	PDGFD	PDGFD	-0.53631094	20.53550366	N	78.47506625
CASP4	CASP4	CASP4	CASP4	CASP4	0.222355725	68.44184949	N	87.70778126
CASP5	CASP5	CASP5	CASP5	CASP5	1.199707453	92.98183534	N	51.04191761
CASP1	CASP1	CASP1	CASP1	CASP1	0.440999548	77.79547063	N	66.5682968
GRIA4	GRIA4	GRIA4	GRIA4	GRIA4	-1.089312628	7.047652748	N	15.99614551
KBTBD3	KBTBD3	KBTBD3	KBTBD3	KBTBD3	-0.380166007	27.88393489	N	57.43796675
GUCY1A2	GUCY1A2	GUCY1A2	GUCY1A2	GUCY1A2	-1.045216355	7.661004954	N	7.931823657
CWF19L2	CWF19L2	CWF19L2	CWF19L2	CWF19L2	0.626470967	83.55154518	N	89.35196338
ALKBH8	ALKBH8	ALKBH8	ALKBH8	ALKBH8	1.243805243	93.41825902	N	64.8217297
RAB39A	RAB39A	RAB39A	RAB39A	RAB39A	-0.031067188	51.03798066	Y	5.028908697
ACAT1	ACAT1	ACAT1	ACAT1	ACAT1	-0.538132194	20.26421326	N	42.33317273
C11orf65	C11orf65	C11orf65	C11orf65	C11orf65	0.661468037	84.4420854	N	94.42905324
EXPH5	EXPH5	EXPH5	EXPH5	EXPH5	4.115639618	99.68742628	N	91.73693086
DDX10	DDX10	DDX10	DDX10	DDX10	-0.483123186	22.78249587	N	82.93182366
RDX	RDX	RDX	RDX	RDX	-0.558357437	19.54470394	N	36.63575042
BTG4	BTG4	BTG4	BTG4	BTG4	-0.295622497	32.61972163	Y	91.09250783
SIK2	SIK2	SIK2	SIK2	SIK2	-0.418800956	25.79028073	N	36.39484462
PPP2R1B	PPP2R1B	PPP2R1B	PPP2R1B	PPP2R1B	0.088260113	60.56853031	N	92.70055408
C11orf1	C11orf1	C11orf1	C11orf1	C11orf1	0.148941568	64.31941496	Y	50.22283787
CRYAB	CRYAB	CRYAB	CRYAB	CRYAB	-0.251530012	35.42108988	Y	82.72705372
HSPB2	HSPB2	HSPB2	HSPB2	HSPB2	0.014844891	54.94810097	Y	30.8961696
