GENE	ALL_0.01%	%ALL_0.01%	ALL_0.1%	%ALL_0.1%	ALL_1%	%ALL_1%	PP2_ALL_0.1%	%PP2_ALL_0.1%	EA_0.1%	%EA_0.1%	EA_1%	%EA_1%	AA_0.1%	%AA_0.1%	AA_1%	%AA_1%	OEratio	%OEratio	%ExAC_0.1%popn	%ExAC_0.05%popn	%ExAC_0.01%
SLC22A18AS	1.2	93.11	1.88	97.25	0.88	88.85	2.48	99.24	0.7	85.17	0.51	82.57	1.45	95.2	1.36	94.12	NA	NA	NA	NA	NA
SLC22A25	1.35	94.15	0.69	85.26	1.16	92.95	0.63	87.4	1.3	93.74	0.51	82.12	0.55	80.9	1.31	93.84	NA	NA	88.27	65.16	79.39
SLC22A6	-0.21	40.08	-0.49	22.51	-0.77	13.81	0.06	54.51	-0.68	16.14	-0.66	14.79	-0.43	24.51	-0.22	39.22	NA	NA	23.24	48.72	23.72
SLC22A8	-0.42	24.76	-0.33	30.74	0.51	78.44	-0.48	18.87	-0.34	31.36	-0.15	46.2	-0.74	14.05	-0.73	13.02	NA	NA	43.88	49.55	57.09
SLC22A9	-0.57	17.51	0.18	66.17	1.27	94.08	0.22	67.93	-0.49	22.74	-0.49	21.48	-0.59	18.55	-0.79	11.45	NA	NA	66.28	81.22	87.01
SLC25A22	-0.33	31.07	0.13	63.2	-0.11	42.29	0.11	58.69	-0.18	42.09	0.19	71.2	-0.05	47.38	-0.51	21.08	NA	NA	31.99	35.41	29.93
SLC25A45	1.24	93.43	1.55	95.62	1.14	92.68	1.18	95.71	0.03	57.07	0.08	66.58	2.15	98.28	1.57	95.43	NA	NA	94.48	88.78	95.49
SLC29A2	-0.68	13.66	-0.6	18.06	-0.21	36.35	-0.31	26.84	-0.65	17.28	-0.64	15.52	-0.87	11.42	-0.72	13.42	NA	NA	53.79	36.66	74.74
SLC35C1	0.11	67.24	-0.01	53.51	-0.03	47.58	-0.15	37.38	0.43	77.45	0.34	76.81	0.38	74.58	0	57.39	NA	NA	40.79	27.88	28.68
SLC35F2	0.09	66.37	0.22	68.13	0.22	64.41	-0.17	36.22	-0.08	49.36	-0.28	36.38	0.43	76.7	0.03	60.12	NA	NA	85.10	87.31	70.59
SLC36A4	-0.28	34.47	0.13	63.49	0.92	89.5	0.27	71.85	-0.3	33.48	-0.13	48.29	-0.07	45.34	-0.46	23.37	NA	NA	78.27	75.27	75.70
SLC37A2	-0.07	52.94	0.05	57.48	-0.38	27.66	-0.56	15.89	-0.84	11.87	-0.47	22.65	0.07	55.79	0.79	87.79	NA	NA	57.27	50.12	77.68
SLC39A13	0.62	84.87	0.98	90.38	0.25	65.85	0.06	54.51	0.72	85.7	0.57	84.01	0.42	75.83	-0.07	51.29	NA	NA	73.70	42.35	46.08
SLC3A2	-0.81	10.23	-0.31	32.15	0.01	50.52	-0.17	35.47	0.12	62.22	-0.87	8.82	0.08	56.58	-0.52	20.29	NA	NA	86.37	88.51	93.82
SLC43A1	-0.97	7.15	-0.06	48.84	-0.72	15.02	-0.65	13.35	-0.77	13.46	-0.96	7.3	0.12	60.02	0.28	73.84	NA	NA	29.26	24.09	23.39
SLC43A3	-0.38	27.54	-0.51	21.65	-0.67	16.32	-0.72	11.65	-1.06	7.87	-0.66	14.79	0.12	60.02	0.28	73.84	NA	NA	73.30	59.47	60.13
SLC5A12	0.17	70.21	-0.07	48.69	0.17	60.83	-0.57	15.76	-0.2	40.2	-0.07	54.03	0.32	71.52	-0.13	46.29	NA	NA	54.23	82.77	50.38
SLC6A5	1.95	97.02	0.78	87.26	-0.94	10.46	-1.1	6.04	-0.27	35.37	0.76	87.43	0.67	84.24	2.22	97.77	NA	NA	73.83	79.76	46.42
SLCO2B1	0	59.41	-0.48	22.78	-0.76	14.06	-0.39	22.55	0.23	68.29	1.08	91.97	-0.96	9.86	-0.8	11.22	NA	NA	33.08	52.24	59.81
SLN	0.08	65.66	0.08	59.43	0.04	52.36	0.29	73.48	0.15	63.94	0.1	67.97	0.11	58.99	0.07	63.34	-0.36	29.22	66.24	69.36	64.26
SMPD1	0.81	88.54	1.72	96.48	0.65	83.23	0.48	82.43	1.35	94.06	-0.24	38.28	1.97	97.74	2.05	97.28	NA	NA	89.41	74.03	82.79
SNX15	0.33	76.74	0.2	67.19	0.75	85.94	0.21	67.76	0	54.9	0.59	84.51	1.22	93.41	0.68	85.63	NA	NA	85.98	89.08	79.91
SNX19	2.07	97.42	1.37	94.46	1.16	92.96	0.32	75.07	2.87	99.02	2.71	98.65	1	90.76	0.87	89.07	NA	NA	90.80	96.00	77.26
SNX32	-0.84	9.64	-0.82	11.88	-0.65	16.99	-0.48	18.87	-0.89	10.64	-0.55	18.99	-0.79	12.85	-1.15	5.69	NA	NA	19.90	35.46	13.34
SORL1	-2.09	1.06	-2.34	1.16	-2.11	1.95	-2.71	0.58	-1.76	2.41	-1.91	1.17	-2.44	1.26	-1.96	1.49	NA	NA	18.38	25.48	9.89
SOX6	-0.71	12.76	-1.11	6.72	-1.16	7.44	-0.62	14.13	-1.13	6.94	-0.7	13.17	-0.97	9.55	-0.63	16.36	NA	NA	3.88	2.23	3.25
SPA17	-0.08	52.75	0.08	59.76	0.18	61.63	0.39	78.9	-0.16	43.78	-0.09	53.45	0.17	62.87	0.33	75.84	-0.73	18.61	53.11	54.36	36.74
SPATA19	0.24	72.99	-0.05	49.76	0.33	70.54	0.29	73.88	0.26	69.87	0.46	81.29	-0.16	39.78	0.12	66.65	1.24	93.37	54.54	65.57	42.51
SPCS2	0.02	61.78	0.01	54.63	-0.12	41.57	0.24	69.83	0.04	58.08	0.04	64.23	-0.03	48.73	-0.02	56.24	-1.02	13.18	60.41	56.19	57.36
SPDYC	-0.45	23.72	-0.49	22.36	-0.29	31.91	-0.04	45.77	-0.52	21.96	-0.32	33.13	-0.49	22.27	-0.48	22.63	NA	NA	28.99	24.49	42.33
SPI1	-0.09	51.36	-0.16	41.25	-0.01	49.09	0.1	58.27	-0.22	39.02	-0.13	49.82	-0.08	45.18	-0.05	53.64	-1.92	4.63	33.40	40.83	58.76
SPTBN2	-2.93	0.35	-4.23	0.14	-3.9	0.35	-3.5	0.22	-3.67	0.18	-2.69	0.4	-4.57	0.17	-3.15	0.3	NA	NA	0.21	0.52	0.35
SPTY2D1	0.12	67.62	0.35	74.58	0.88	88.78	0.83	91.65	0.29	70.97	0.29	74.69	0.51	79.36	0.37	77.3	NA	NA	42.49	54.69	57.54
SRPR	-0.87	9.02	-0.89	10.43	-0.59	19	-0.82	9.86	-0.37	29.35	-0.17	44.12	-0.8	12.74	-0.99	7.52	NA	NA	7.80	8.28	9.01
SSH3	-0.46	22.99	-0.77	13.15	0.14	58.78	-0.71	11.8	-0.38	28.57	-0.66	14.26	-0.43	24.59	-0.23	38.36	NA	NA	47.50	52.60	51.86
SSRP1	-0.64	15.22	-0.76	13.45	-0.52	21.38	-0.24	30.91	-0.78	13.28	-0.72	12.54	-0.87	11.42	-0.72	13.42	NA	NA	26.68	20.13	11.76
SSSCA1	0.32	76.46	0.04	56.64	0.72	85.02	0.07	55.44	-0.12	46.17	-0.07	55.41	0.22	66.59	0.21	71.22	0.54	69.95	48.75	49.09	53.77
ST14	0.58	84.02	-0.35	29.59	-1.16	7.48	-0.08	42.59	-0.54	21.07	-0.47	22.39	-0.15	39.94	0.47	80.26	NA	NA	52.14	84.11	75.39
ST3GAL4	-0.28	35.17	0.04	56.92	0.05	53.05	0.17	64.67	-0.11	46.94	-0.3	34.73	0.28	69.61	-0.3	33.66	-0.05	41.02	62.60	58.57	59.01
ST5	-0.33	31.12	-0.72	14.26	-1.54	4.15	-1.33	4.13	-0.75	13.91	0.17	69.64	-0.8	12.59	-0.48	22.71	NA	NA	25.75	34.63	34.40
STARD10	-0.42	25.38	-0.2	38.82	-0.64	17.16	-0.3	27.45	-0.62	18.12	-0.38	28.74	-0.15	40.41	-0.42	25.91	NA	NA	59.21	53.91	46.79
STIM1	-0.34	30.45	-0.22	37.54	-0.41	26.07	-0.11	40.17	-0.91	10.17	-0.81	10.28	-0.13	41.19	-0.34	30.52	NA	NA	9.19	4.47	8.29
STIP1	-0.51	20.54	-0.56	19.54	-1.32	5.8	-0.38	23.02	-0.72	14.83	-0.45	24.65	-0.63	17.4	-0.57	18.55	NA	NA	10.42	7.37	8.49
STK33	0.59	84.15	-0.07	48.69	0.46	76.2	-0.28	28.77	0.49	79.33	0.95	90.55	-0.08	44.23	0.08	63.86	NA	NA	60.00	46.96	52.36
STT3A	-0.41	26.34	-0.65	16.36	-1.19	7.12	-0.27	29.64	-0.59	19.35	-0.36	30.17	-0.74	14.34	-0.48	22.63	NA	NA	9.13	10.82	6.01
STX3	-0.36	29.16	0.4	76.15	0.1	56.51	0.65	88.07	-0.25	37.42	-0.38	28.74	0.68	84.72	0.8	87.96	NA	NA	67.92	64.77	77.65
STX5	-0.55	18.49	-0.36	29.16	-0.13	40.91	0.14	62.03	-0.03	52.33	-0.49	22.26	-0.73	14.64	-0.63	16.36	NA	NA	75.83	64.41	76.55
SUV420H1	-0.91	8.09	-0.95	9.21	-0.71	15.5	-0.87	8.99	-0.95	9.58	-0.83	9.81	-0.85	11.79	-1.02	7.06	NA	NA	13.35	16.20	13.13
SVIP	0.02	61.78	0.01	54.63	-0.12	41.57	0.24	69.83	-0.06	51	-0.02	59.11	0.2	65.01	0.13	67.15	0.26	55.75	57.19	59.40	60.74
SWAP70	-0.05	54.71	-0.51	21.41	-0.91	10.99	-0.35	24.69	-0.28	35.31	0.12	68.73	-0.63	17.4	-0.18	41.72	NA	NA	14.11	14.70	9.75
SYT12	-0.41	25.66	-0.31	32.15	-0.61	18.23	-0.46	19.47	-0.64	17.56	-0.87	8.82	0.01	51.24	-0.25	36.93	NA	NA	67.81	82.42	59.07
SYT13	-0.66	14.11	-0.53	20.7	-0.6	18.49	-0.57	15.76	-0.45	25.49	-0.51	21.17	-1.2	6.48	-0.93	8.57	NA	NA	25.11	22.38	43.06
SYT7	-0.42	25.38	-0.67	15.62	-0.79	13.42	-0.28	28.4	-0.82	12.27	-0.51	21.17	-0.55	20.05	-0.36	29.59	NA	NA	18.52	13.43	12.74
SYT8	0.95	90.42	1.16	92.63	0.77	86.21	1.5	97.48	1.65	95.99	1.54	95.33	0.07	55.88	1.16	92.62	NA	NA	95.11	96.96	95.54
SYT9	-0.09	50.47	-0.07	48.54	-0.16	39.43	-0.09	41.5	-0.1	47.36	0.53	82.91	-0.24	35	0.14	67.69	NA	NA	32.82	36.09	39.05
SYTL2	2.02	97.23	1.34	94.23	-0.14	40.48	1.98	98.67	2.76	98.91	2.5	98.28	0.49	78.46	0.14	67.35	NA	NA	98.16	91.61	89.80
SYVN1	-0.62	15.69	-0.73	14.02	-0.48	22.79	-0.23	31.93	-0.89	10.64	-0.55	18.99	-0.33	29.47	-0.69	14.27	NA	NA	21.54	35.50	41.43
TAF1D	0.12	68.07	0.26	70.26	0.3	68.98	0.45	81.29	-0.08	49.36	0.25	73.58	0.48	78.39	0.06	62.42	NA	NA	63.93	69.21	74.96
TAF6L	-0.28	34.47	-0.36	29.31	-0.25	34.08	0.27	71.85	0.04	57.38	-0.15	46.2	-0.72	14.97	-0.78	11.79	NA	NA	14.25	17.52	24.40
TAGLN	-0.32	32.09	-0.03	51.66	0.22	64.41	0.12	60.24	-0.72	14.83	-0.45	24.65	0.18	63.51	0.56	83.03	NA	NA	61.54	57.15	47.54
TALDO1	-0.18	42.6	-0.73	14.02	-0.11	42.42	-0.23	31.93	-0.48	24	-0.53	20.14	-0.33	29.47	-0.31	32.45	NA	NA	41.55	46.96	52.36
TBC1D10C	-0.49	21.37	-0.85	11.06	-0.7	15.69	-0.37	23.93	-0.89	10.64	-0.55	18.99	-0.54	20.48	-0.51	21.08	NA	NA	33.54	31.39	38.34
TBCEL	-0.23	38.75	-0.14	43.29	-0.27	33.04	-0.06	44.03	-0.42	26.73	-0.26	38.17	-0.02	49.61	-0.18	43.38	-0.75	18.22	27.52	28.16	26.20
TBRG1	0.15	69.36	-0.18	39.95	0.38	72.97	0.19	66.09	-0.08	49.36	-0.28	36.38	0.04	53.75	0.09	64.59	1.16	91.87	NA	NA	NA
TBX10	-0.11	49.14	-0.09	46.92	0.53	79.02	0.18	64.93	0.34	73.83	0.57	84.01	-0.24	35	-0.25	36.93	NA	NA	46.10	22.26	42.21
TCIRG1	-1.07	5.86	-1.12	6.58	-0.14	40.51	-0.65	13.02	-0.02	52.39	-0.91	7.74	-0.8	12.59	-1.25	4.66	NA	NA	49.31	58.30	84.09
TCN1	0.02	60.8	-0.04	50.45	0.16	60.31	0.13	60.61	0.22	67.66	0.25	73.1	0.71	85.41	-0.43	24.92	NA	NA	86.06	90.91	88.03
TCP11L1	0.38	78.46	0.51	80.1	0.44	75.44	-0.03	47.18	0.89	89.12	1.2	93.32	0.45	77.28	0.11	65.89	NA	NA	37.46	27.46	29.50
TEAD1	-0.32	32.09	-0.52	21.2	-0.65	16.83	-0.17	36.22	-0.56	20.63	-0.34	31.62	-0.16	39.78	-0.27	35.97	NA	NA	15.01	14.29	11.03
TECTA	-2.3	0.75	-2.43	1.03	-2.28	1.58	-2.67	0.6	-2.98	0.49	-2.21	0.75	-2.59	1.05	-2.67	0.59	NA	NA	3.03	2.65	3.01
TEX12	0.02	61.78	0.5	79.79	0.32	69.68	0.53	84.22	0.74	85.94	0	61.1	0.26	68.43	0.01	58.77	-0.04	41.53	65.92	56.12	58.80
TH	-0.64	14.9	-0.95	9.27	-0.38	27.22	-0.73	11.45	-1	8.58	-0.57	17.42	-0.75	13.94	-0.58	17.81	NA	NA	50.79	64.06	51.51
THRSP	0.21	71.78	0.15	64.32	-0.04	46.93	-0.03	46.77	0.43	77.45	0.34	76.81	0.33	71.95	-0.27	35.97	1.24	93.3	55.11	63.43	53.29
THY1	0.02	61.78	0.01	54.63	0.17	61.06	0.24	69.83	0.01	55.83	0.02	62.73	0.06	55.51	0.04	61.25	1.12	91.11	40.55	54.08	49.93
THYN1	-0.16	44.62	-0.27	33.97	-0.5	22.06	0.02	50.88	-0.22	39.02	-0.13	49.82	-0.17	38.94	-0.12	48.49	0.73	78.51	39.10	37.85	36.13
TIGD3	0.25	73.32	-0.42	25.56	-0.07	44.98	-0.18	35.31	-0.1	47.36	0.53	82.91	-0.1	43.86	-0.15	44.42	NA	NA	13.92	11.91	18.44
TIMM10	0.02	61.78	0.01	54.63	0.02	51.26	0.24	69.83	0.04	58.08	0.04	64.23	0.01	52.23	0.01	58.77	-1.08	12.32	54.11	48.69	50.08
TIMM8B	-0.08	52.75	-0.14	42.88	0.18	61.63	0.12	59.81	-0.12	46.17	-0.07	55.41	-0.17	38.94	-0.12	48.49	-0.28	31.91	42.38	56.36	52.31
TIRAP	0.83	88.91	1.06	91.51	0.71	84.71	1.18	95.71	0.76	86.53	1.12	92.45	0.69	85	1.03	91.16	NA	NA	85.82	89.94	89.59
TM7SF2	0.28	74.55	-0.38	27.88	0.01	50.48	-0.43	20.77	0.14	63.66	0.44	80.21	0.2	64.53	-0.12	47.02	NA	NA	74.57	55.22	58.46
TMEM109	0.15	69.36	-0.18	39.95	0.24	65.32	-0.1	41.12	-0.11	46.94	0.23	72.83	-0.16	39.78	-0.27	35.97	0.51	68.31	52.04	38.56	52.12
TMEM123	0.59	84.31	0.59	82.51	0.32	69.81	0.51	83.79	0.65	83.79	1.29	93.92	0.71	85.62	0.98	90.47	NA	NA	78.39	71.25	65.25
TMEM126A	-0.32	32.09	0.46	78.46	0.07	54.81	0.41	79.88	0.13	63.39	-0.38	28.74	0.13	60.51	0.15	68.34	NA	NA	73.18	78.56	82.18
TMEM126B	0.21	71.78	0.39	76.05	0.69	84.3	0.55	84.98	0.5	79.81	0.38	78.32	0.33	71.95	-0.27	35.97	NA	NA	76.42	71.07	80.04
TMEM132A	0.54	82.99	-0.44	24.71	0.18	61.46	0.16	63.22	0.36	74.47	0.97	90.63	0.41	75.42	0.45	79.71	NA	NA	18.19	66.84	12.89
TMEM133	0.32	76.46	0.08	59.76	0.57	80.73	0.39	78.9	0.19	66.52	0.42	79.89	0.02	53.09	0.24	72.41	1.33	94.81	78.42	71.52	75.41
TMEM135	0.22	72.1	1	90.65	0.14	59.16	0.65	88.16	0.24	69.07	0.51	82.39	1.13	92.54	1.39	94.31	NA	NA	70.82	59.37	54.72
TMEM136	-0.13	47.18	-0.23	36.86	0.02	50.77	0.05	53.89	-0.32	32.45	-0.19	43.65	-0.13	42.03	-0.08	50.87	1.26	93.67	59.74	72.81	73.13
TMEM138	-0.15	45.9	-0.25	35.42	-0.17	38.56	0.04	52.37	-0.32	32.45	-0.19	43.65	0.07	56.4	-0.12	48.49	-0.72	18.8	41.40	55.18	43.61
TMEM179B	-0.09	51.36	-0.16	41.25	-0.01	49.09	0.1	58.27	-0.12	46.17	-0.07	55.41	0.17	62.87	-0.05	53.64	0.99	87.74	32.63	28.00	37.51
TMEM218	-0.12	48.6	0.04	56.64	0.06	53.47	0.36	77.52	0.19	66.52	-0.11	51.62	-0.27	33.32	-0.18	43.38	-0.81	17	54.67	59.88	47.74
TMEM223	1.05	91.42	1.13	92.16	0.44	75.35	0.27	72.76	0.81	87.74	0.87	89.55	0.91	89.45	0.56	83.03	NA	NA	83.60	75.91	73.94
TMEM225	0.55	83.29	1.02	90.86	0.78	86.52	0.17	64.67	1.09	91.74	0.8	88.6	1.31	94.11	0.5	81.42	NA	NA	92.19	84.77	88.15
TMEM25	-0.22	39.07	0.2	67.3	0.21	63.48	0.6	86.8	0.08	59.61	-0.13	48.29	-0.08	44.23	0.46	80.22	NA	NA	54.29	81.34	51.26
TMEM41B	-0.18	43.45	0.19	66.82	-0.25	33.9	0	49.5	0.16	64.82	0.4	79.08	0.28	69.61	-0.3	33.66	-0.95	14.38	46.40	60.58	50.97
TMEM45B	0.4	79.41	0.55	81.48	-0.06	45.35	0.01	49.88	0.23	68.74	0.21	71.91	0.3	70.34	0.56	82.76	NA	NA	74.31	61.98	62.88
TMEM80	-0.23	38.75	0.35	74.18	0.46	76.4	0.51	83.79	0.33	73.49	-0.26	38.17	-0.02	49.61	-0.18	43.38	NA	NA	NA	NA	NA
TMEM86A	0.55	83.29	0.04	56.92	-0.68	16.26	-0.11	39.74	-0.01	54.49	0.29	75.26	-0.01	50.36	0.06	62.42	-1.17	11.14	34.06	45.08	30.43
TMEM9B	-0.1	49.88	-0.19	39.68	-0.19	37.08	0.09	56.76	-0.12	46.17	-0.07	55.41	-0.17	38.94	-0.12	48.49	-1.75	5.76	38.27	40.65	35.74
TMPRSS13	0.42	79.64	0.67	84.64	0.12	57.68	1.27	96.3	-0.12	45.17	-0.26	36.81	0.53	80.3	0.07	63.51	NA	NA	95.00	90.02	93.92
TMPRSS4	1.06	91.55	1.02	90.98	0.91	89.34	0.96	93.62	1.48	95.06	0.57	84.01	0.91	89.34	1.08	91.75	NA	NA	76.02	53.95	66.77
TMPRSS5	-0.05	54.21	0.07	59.04	0.1	56.61	-0.53	17.15	0.12	62.22	0.19	70.6	-0.3	31.32	0.01	58.91	NA	NA	NA	NA	NA
TMX2	-0.46	22.89	-0.27	34.6	-0.62	17.97	-0.35	24.69	0.07	59.28	-0.43	25.96	-0.69	15.59	-0.45	24.32	NA	NA	55.94	63.82	71.45
TNKS1BP1	1.35	94.11	1.92	97.43	0.73	85.39	0.24	69.83	2.36	98.29	1.71	96.16	0.04	53.75	0.69	85.82	NA	NA	83.33	89.21	87.10
TNNI2	-0.18	43.45	-0.3	32.62	-0.69	15.99	0	49.5	-0.32	32.45	-0.19	43.65	-0.17	38.94	-0.12	48.49	-1.67	6.32	23.41	25.47	28.41
TNNT3	-0.25	37.63	-0.41	26.23	-0.6	18.67	-0.08	42.56	-0.42	26.73	-0.26	38.17	-0.41	25.66	-0.27	35.97	-0.62	21.28	49.56	42.54	35.03
TOLLIP	0.22	72.1	-0.47	23.43	-0.73	14.8	-0.5	18.14	-0.81	12.54	-0.21	40.48	-0.14	40.84	-0.18	41.72	NA	NA	60.13	81.37	85.84
TP53AIP1	1.18	92.87	0.86	88.56	0.8	87.11	1	94.08	1.39	94.49	1.52	95.27	0.51	79.71	1.01	90.9	NA	NA	76.45	86.19	85.77
TP53I11	-0.16	44.62	-0.27	33.97	-0.5	22.06	0.02	50.88	-0.19	41.39	-0.11	51.62	-0.27	33.32	-0.18	43.38	-3.05	1.21	38.75	31.81	33.68
TPCN2	0.69	86.4	-0.34	29.62	0.91	89.23	-1.02	6.75	1.05	91.26	0.93	90.04	-0.62	17.51	0.55	82.52	NA	NA	62.30	84.88	86.78
TPH1	-0.71	12.76	-0.38	28.01	0.44	75.51	-0.33	25.93	0.11	61.7	-0.64	15.52	-0.81	12.54	-0.84	10.29	NA	NA	24.43	44.56	40.11
TPP1	-0.84	9.64	0.4	76.41	1.24	93.76	-0.19	34.34	-0.34	31.36	-0.68	14.01	0.74	86.15	1.04	91.27	NA	NA	61.30	83.11	84.86
TRAF6	-0.32	32.09	-0.54	20.26	0.22	64.41	-0.18	35	-0.15	44.43	-0.32	33.13	-0.36	27.99	-0.24	38.27	NA	NA	22.29	19.78	23.29
TRAPPC4	-0.16	44.62	-0.27	33.97	-0.35	28.67	0.02	50.88	-0.26	36.72	-0.15	47.68	-0.22	36.04	-0.15	45.89	-0.72	18.8	23.41	25.47	19.10
TRIM21	-0.78	10.9	-0.24	36.17	-0.93	10.75	0.17	63.59	-0.12	45.17	-0.79	10.81	-1.01	9.06	-0.43	24.92	NA	NA	36.15	61.56	53.33
TRIM22	1.17	92.8	1.78	96.84	1.08	91.92	0.9	92.78	0.54	80.76	0.51	82.12	1.36	94.52	1.67	95.89	NA	NA	94.07	91.28	94.81
TRIM29	-0.57	17.51	-0.06	48.84	-0.33	29.85	-0.36	24.23	0.12	62.22	-0.34	30.5	-0.39	26.38	-0.44	24.54	NA	NA	27.29	62.42	53.04
TRIM3	-0.76	11.26	-1.2	5.76	-1.18	7.25	-0.68	12.3	-1.16	6.51	-0.72	12.54	-1.21	6.32	-0.78	11.79	NA	NA	3.45	7.67	2.94
TRIM34	0.28	74.55	0.84	88.36	0.74	85.54	0.43	80.74	1.07	91.43	0.55	83.48	0.56	81.11	1.17	92.75	NA	NA	71.73	74.19	62.60
TRIM44	-0.33	31.07	-0.29	32.94	-0.55	20.25	-0.18	35	-0.01	54.49	-0.24	39.98	-0.3	31.21	-0.36	29.59	NA	NA	27.52	23.21	21.47
TRIM48	1.53	95.22	1.84	97.09	1.22	93.51	2.76	99.38	2.48	98.54	2.07	97.32	1.34	94.37	0.82	88.27	NA	NA	97.54	97.72	97.66
TRIM5	1.54	95.28	1.2	93.01	1.39	95.26	0.54	84.72	1.5	95.14	2.22	97.68	1.17	92.88	1.55	95.28	NA	NA	92.10	82.59	87.41
TRIM6	-0.1	50.07	0.51	80.3	0.13	58.22	0.58	85.85	0.15	64.12	-0.32	32.03	0.09	57.28	0.1	65.52	NA	NA	51.29	50.74	37.46
TRIM6-TRIM34	-0.16	44.66	0.52	80.36	0.25	65.95	-0.27	29	0.18	65.42	-0.26	36.52	0.42	75.88	1.06	91.52	NA	NA	42.35	46.33	28.09
TRIM68	-0.87	9.02	-1.11	6.78	-0.59	19	-0.51	17.69	-1.08	7.54	-0.91	7.92	-1.16	6.89	-0.75	12.68	NA	NA	25.06	52.20	25.79
TRMT112	-0.03	56.85	-0.08	47.79	-0.14	40.65	0.17	64.34	-0.06	51	-0.02	59.11	-0.03	48.73	-0.02	56.24	-1.46	8.05	47.03	47.05	57.23
TRPC6	-0.57	17.51	-1.29	5.08	-1.93	2.44	-0.93	7.94	-0.74	14.35	-0.41	26.29	-1.34	5.25	-0.64	15.79	NA	NA	4.04	4.94	5.42
TRPM5	-0.41	25.42	-0.84	11.29	-0.31	30.77	-1.72	2.24	-2.05	1.57	-0.85	8.83	-0.41	25.1	-0.81	11.09	NA	NA	87.26	89.40	96.55
TRPT1	1.02	91.19	0.39	76.05	0.5	78	0.53	84.47	1.6	95.73	1.42	94.74	0.33	71.95	0.89	89.38	NA	NA	67.62	72.81	77.75
TSG101	-0.25	37.63	-0.16	41.64	-0.31	30.96	-0.08	42.56	-0.39	28.47	-0.24	39.98	-0.16	39.78	0.12	66.65	-1.49	7.76	21.67	25.38	42.82
TSKU	1.31	93.9	0.53	80.96	0.17	61.4	-0.09	41.67	0.29	70.97	0.82	88.79	0.11	59.29	0.82	88.27	NA	NA	74.26	88.04	78.77
TSPAN18	-0.04	56.02	0.02	55.45	0	49.79	0.26	71.72	0.07	59.28	0.63	85.37	0.1	58.23	0.2	70.58	NA	NA	51.50	55.62	41.27
TSPAN32	-0.68	13.66	0.38	75.51	0.67	83.72	0.27	71.85	0.93	89.76	-0.07	54.03	-0.71	15.15	-0.55	19.04	NA	NA	88.21	95.39	95.16
TSPAN4	-0.75	11.57	-0.96	9.17	-0.99	9.64	-0.4	22.41	-0.81	12.54	-0.74	11.96	-0.52	21.12	-0.81	11.04	NA	NA	71.38	69.02	60.33
TSSC4	0.91	89.98	1.02	91.02	1.81	97.48	0.2	66.47	1	90.66	0.51	82.39	0.05	54.41	-0.08	50.99	NA	NA	88.00	92.41	93.06
TTC12	-0.21	39.88	-0.15	42.25	0.38	73.13	-0.14	37.93	-0.64	17.56	0.19	70.6	-0.14	40.9	0.18	70.04	NA	NA	72.57	72.04	72.94
TTC17	-0.94	7.5	-1.61	2.95	-0.36	28.56	-1.08	6.15	-1.72	2.55	-1.32	3.48	-1.02	8.79	-0.53	19.97	NA	NA	4.05	4.42	6.36
TTC9C	-0.18	43.45	-0.32	31.46	-0.1	42.66	-0.01	48.28	-0.26	36.72	-0.15	47.68	-0.21	36.73	-0.3	33.66	-0.51	24.34	40.47	60.87	44.45
TUB	-0.78	10.7	-0.91	10.12	-1.22	6.72	-0.91	8.28	-0.75	13.91	-0.89	8.04	-0.31	30.57	-0.61	16.77	NA	NA	31.38	16.31	71.42
TUT1	-0.5	20.58	-0.84	11.45	-0.86	12.01	0.11	58.32	-0.8	12.7	-0.45	23.73	-0.36	27.4	-0.89	9.23	NA	NA	51.00	41.62	18.32
TYR	-0.26	36.51	-0.95	9.27	-0.61	18.26	-0.19	34.42	-0.25	36.85	-0.05	55.6	-0.12	42.21	-0.1	48.89	NA	NA	8.49	10.73	34.96
UBASH3B	-0.42	24.76	-0.07	48.78	-1.23	6.61	-0.48	18.87	-0.54	21.24	-0.28	35.15	-0.7	15.3	0.07	63.51	NA	NA	26.99	31.90	31.85
UBE2L6	-0.03	56.85	-0.08	47.79	0.01	50.22	0.17	64.34	-0.09	48.54	-0.05	57.34	-0.03	48.73	-0.02	56.24	-0.02	42.48	51.62	71.27	64.04
UBE4A	-1.01	6.61	-1.09	7.15	-1.13	7.7	-0.39	22.48	-1.33	4.85	-0.83	9.81	-1.51	4.09	-1.3	4.18	NA	NA	13.52	17.66	23.82
UBQLN3	0.58	84.06	0.78	87.24	1.76	97.26	-0.46	19.59	1.17	92.53	0.42	79.19	0.59	82.08	0.33	75.91	NA	NA	96.13	95.96	96.93
UBQLNL	2.31	98.04	1.87	97.2	1.23	93.71	0.49	82.86	2.95	99.1	1.65	95.86	1.67	96.52	2.17	97.68	NA	NA	94.73	94.85	97.30
UBXN1	-0.15	45.9	0.48	79.04	-0.17	38.56	0.9	92.88	0.5	79.81	-0.15	47.68	0.27	69.07	-0.15	45.89	NA	NA	79.57	61.98	55.94
UCP2	-0.12	47.71	0.11	61.91	0.2	62.9	-0.14	37.72	-0.45	25.49	0.02	61.88	0.55	80.86	0.56	82.76	NA	NA	77.18	63.46	60.33
