GENE	ALL_0.1%	%ALL_0.1%	%OEratio	%ExAC_0.05%popn	OEratio-percentile[ExAC]	LoF-FDR[ExAC]	ExAC_v2_0.05%popn	%ExAC_v2_0.05%popn	Edge Case (ExAC_v2)	OEratio-percentile[ExAC_v2]
METTL21A	0.13	63.2	NA	81.02	70.8739	0.3716291	0.5152	72.2874	N	86.1344
METTL21C	0.93	89.7	NA	84.98	87.6106	0.8841098	1.0408	87.0381	N	85.3008
METTL22	0.58	82.3	NA	90.23	94.8617	0.2975978	0.6320	76.4712	N	98.5816
METTL23	0.35	74.18	NA	52.3	70.7356	0.07075924	0.0950	54.1153	N	57.7722
METTL24	1.26	93.53	NA	70.59	95.7246	0.8540175	0.3228	64.4184	N	93.4927
METTL25	0.31	72.71	NA	36.48	87.8263	0.1308279	-0.2144	39.4819	N	75.7946
METTL26	0.06	58.53	Y	NA	66.6980	0.8706789	0.6665	77.5855	N	99.6179
METTL2A	0.19	67.03	NA	71.25	90.9679	0.8851725	0.2141	59.6970	N	83.6276
METTL2B	-0.14	43.77	NA	88.45	80.8850	0.2222598	0.4491	69.7556	N	69.8547
METTL3	-0.09	46.74	NA	47.63	8.9989	0.3372476	-0.2377	38.4653	N	13.9871
METTL4	0.55	81.55	NA	52.61	35.8794	0.1529531	-0.1381	42.8250	N	44.9256
METTL5	-0.07	48.12	Y	51.11	29.1261	0.5534877	-0.0446	47.2923	Y	84.5018
METTL6	-0.21	38.28	Y	29.45	90.8739	0.5569347	-0.1986	40.1271	N	51.7223
METTL7A	0.1	61.28	Y	34.35	48.4790	0.5017982	-0.4252	30.4985	N	42.6272
METTL7B	1.11	91.99	NA	81.88	73.8053	0.05984587	0.5137	72.2287	N	40.7630
METTL8	NA	NA	NA	NA	65.9569	0.9318643	0.2460	61.1241	N	56.1281
METTL9	-0.14	42.88	Y	35.17	5.0608	0.3863604	-0.0244	48.2405	Y	7.0341
MEX3A	-0.36	28.63	Y	17.43	8.7777	0.1649392	-0.6887	21.3099	N	11.0577
MEX3B	-0.76	13.45	NA	5.37	19.5188	0.4089063	-1.2070	9.6285	N	15.2782
MEX3C	-0.34	30.56	NA	27.6	29.8728	0.07007544	-0.4853	28.1232	N	29.5085
MEX3D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MFAP1	0.1	61.49	Y	16.97	3.6449	0.002173909	-0.4739	28.5337	N	4.4347
MFAP2	-0.19	39.68	Y	50.03	59.9613	0.8982408	0.1665	57.5464	Y	62.5485
MFAP3	-0.54	20.26	NA	67.18	42.9812	0.4166263	0.2441	61.0166	N	22.8796
MFAP3L	-0.45	24.19	NA	42.7	27.6881	0.01616418	-0.3430	33.8612	N	20.2397
MFAP4	-0.47	23.04	Y	24.59	24.1427	0.06859487	-0.4735	28.5533	N	13.8135
MFAP5	-0.34	30.07	Y	56.86	27.1792	0.04643594	0.3159	64.1153	Y	40.3809
MFF	-0.07	48.54	NA	57.07	53.8772	0.02283374	-0.3172	34.9951	N	49.6092
MFGE8	-0.53	20.78	NA	51.09	73.7611	0.4302379	0.0456	51.6520	N	80.2293
MFHAS1	-1.19	5.89	NA	1.58	36.7976	0.06198653	-2.1574	2.5806	N	48.9203
MFN1	-0.25	36.07	NA	19.33	82.1515	0.006127646	-0.7982	18.1525	N	66.5489
MFN2	-0.77	13.1	NA	3.58	16.6869	2.69E-06	-1.2986	8.2698	N	15.8166
MFNG	-0.42	25.56	NA	48.88	50.1825	0.8831289	0.7369	79.9511	N	92.2017
MFRP	-0.53	20.89	NA	24.13	69.6515	0.09209186	0.3054	63.7146	N	87.8828
MFSD1	0.2	67.3	NA	12.77	45.8075	0.7670513	-1.0416	12.3167	N	74.2951
MFSD10	-1.15	6.23	NA	51.06	45.9735	0.5484331	0.3502	65.6012	N	94.7085
MFSD11	-0.65	16.36	NA	22.44	16.4159	0.171347	-0.4727	28.5728	N	38.7194
MFSD12	-0.26	34.98	NA	71.97	93.5564	0.4589182	1.0009	86.3734	N	99.3574
MFSD13A	-1.38	4.39	NA	11.93	59.7898	0.4377544	-0.6016	23.9687	N	38.3952
MFSD14A	-0.21	38.58	Y	13.35	4.7456	0.01099479	-0.8256	17.4878	N	6.8604
MFSD14B	-0.31	31.93	NA	54.92	58.2190	0.243768	-0.2137	39.5308	N	78.4693
MFSD2A	-0.49	22.36	NA	21.2	27.5055	0.01363003	-0.4457	29.6383	N	23.3602
MFSD2B	0.44	77.91	NA	85.87	69.1206	0.572252	NA	NA	NA	NA
MFSD3	NA	NA	NA	74.27	75.1825	0.9993496	0.5574	73.8612	N	85.2197
MFSD4A	0.57	82.08	NA	21.58	28.8385	0.3136091	-0.6594	22.1114	N	24.5354
MFSD4B	0.13	63.49	NA	26.33	77.2069	0.4643442	-0.3734	32.6002	N	51.8960
MFSD5	-0.78	12.77	NA	13.41	24.9060	0.1506447	-0.5484	25.7869	N	12.3893
MFSD6	0.51	80.3	NA	21.98	29.1040	0.2712841	-0.8514	16.8915	N	22.5902
MFSD6L	2.65	98.83	NA	91.87	77.5664	0.6761283	1.9525	96.7644	N	87.4313
MFSD7	-0.84	11.28	NA	49.76	81.0785	0.9396998	-0.2095	39.6774	N	74.4804
MFSD8	0.24	69.46	NA	30.45	70.7301	0.1962109	-0.5301	26.4321	N	71.3947
MFSD9	0.38	75.63	NA	93.51	78.3296	0.5535004	0.9283	84.5455	N	73.2531
MGA	-0.61	17.48	NA	1.7	47.4779	3.48E-25	-2.1757	2.5122	N	36.5078
MGAM	2.36	98.45	NA	98.58	75.9126	0.07667613	2.3216	98.0547	N	59.9664
MGARP	0.71	85.53	NA	73.99	69.3971	0.6777156	0.3342	64.9462	N	74.3762
MGAT1	0.2	67.3	NA	29.3	10.0553	0.1211997	-0.6822	21.4761	N	9.6856
MGAT2	0.08	60.31	NA	29.73	62.0631	0.005154164	-0.5811	24.6823	N	46.0198
MGAT3	-0.58	18.72	NA	52.92	6.3496	0.3148598	0.5145	72.2678	N	4.8689
MGAT4A	0.04	57.15	NA	50.06	30.8739	0.02200181	-0.1023	44.6041	N	16.9803
MGAT4B	0.07	59.11	NA	68.82	10.1991	0.003515712	0.7374	79.9707	N	97.5221
MGAT4C	-0.2	38.82	NA	69.36	47.5055	0.3103408	0.1258	55.6109	N	65.7500
MGAT5	-1.27	5.24	NA	11.8	9.9889	9.74E-07	-0.5160	26.9404	N	12.0709
MGAT5B	-0.93	9.75	NA	13.66	23.4569	0.01873301	-0.3673	32.8446	N	45.6088
MGEA5	-0.4	26.73	NA	9.9	19.9447	0.009453633	-1.2199	9.4330	N	10.0330
MGLL	-0.25	35.75	NA	56.79	39.2865	0.7560743	-0.0620	46.4712	N	66.6821
MGME1	0.68	85.04	NA	68.45	89.1980	0.1447851	0.5346	72.9717	N	92.4275
MGMT	0.62	83.25	NA	57.95	95.3097	0.9570261	0.4452	69.6090	N	93.6664
MGP	0.77	86.95	NA	82.55	30.9845	0.6083625	0.6909	78.4360	N	98.8074
MGRN1	-1.77	2.3	NA	19.43	46.9414	0.000459664	-0.6707	21.7791	N	60.8754
MGST1	-0.23	36.86	Y	61.82	92.0354	0.621331	0.1935	58.7781	Y	93.3827
MGST2	0.44	77.57	NA	63.43	38.6726	0.3080209	0.2391	60.8016	Y	72.6683
MGST3	-0.1	46.2	Y	50.36	59.0763	0.5257184	-0.1028	44.5650	Y	35.7089
MIA	0.17	65.33	Y	56.91	86.6372	0.361362	0.1109	54.8387	Y	59.4975
MIA2	1.13	92.29	NA	84.49	95.1272	0.1455723	0.5323	72.9032	N	83.3613
MIA3	0.79	87.34	NA	92.84	82.3009	1.10E-07	1.3250	91.7791	N	71.4062
MIB1	-1.42	4.1	NA	1.38	14.1316	1	-2.3736	2.0430	N	18.4450
MIB2	-0.03	50.56	NA	85.42	18.6173	0.06402478	2.1485	97.5758	N	66.1726
MICA	3.71	99.56	NA	98.33	92.7765	0.6721427	2.4329	98.3089	N	64.6963
MICAL1	-0.78	12.64	NA	64.86	75.5863	0.066459	1.2209	90.2346	N	58.3801
MICAL2	0.55	81.23	NA	76.19	40.7743	0.000337385	0.9502	85.0538	N	34.7537
MICAL3	0.41	76.52	NA	78.31	40.2323	6.40E-13	1.8570	96.1779	N	42.6735
MICALCL	2.54	98.71	NA	97.41	74.0100	0.5981256	0.9949	86.1779	N	80.8777
MICALL1	-0.79	12.57	NA	32.41	45.6748	0.28066	-0.2003	40.0684	N	43.2409
MICALL2	1.39	94.66	NA	99.4	82.4613	0.6678763	4.1373	99.5992	N	82.2555
MICB	1.82	96.99	NA	71.56	40.7135	0.6006241	0.2141	59.6970	N	64.3316
MICU1	-0.45	24.19	NA	56.72	51.1228	0.8685114	-0.1803	40.8700	N	24.0723
MICU2	0.17	65.96	NA	67.85	42.2179	0.8109912	0.4689	70.5670	N	47.8724
MICU3	-0.74	13.94	NA	57.18	60.0664	0.4268971	0.3494	65.5523	N	41.3883
MID1	-0.78	12.77	NA	5.92	8.5619	0.1450988	-1.3649	6.4263	N	2.9757
MID1IP1	0.1	61.28	Y	33.14	25.7301	0.4818539	-0.3568	30.4075	Y	20.9112
MID2	-0.27	34.6	NA	12.72	29.4414	0.001563642	-0.8873	13.9498	N	26.3127
MIDN	-1.26	5.26	NA	28.12	16.1228	0.1334073	0.2236	60.1173	N	11.5440
MIEF1	0.42	77.16	NA	32.18	48.5232	0.1748135	-0.4715	28.6315	N	56.4696
MIEF2	-0.53	20.78	NA	85.8	46.6040	0.2649054	1.1796	89.5992	N	86.9160
MIEN1	0.06	58	Y	52.8	91.4325	0.2625884	-0.0499	47.0577	Y	94.1817
MIER1	-0.07	48.35	NA	38.64	33.8496	0.000555967	-0.1495	42.2972	N	54.1944
MIER2	-1.15	6.32	NA	81.81	46.1062	0.0005437	0.4769	70.8309	N	36.5252
MIER3	-0.38	27.69	NA	12.19	18.5841	3.93E-05	-0.7990	18.1329	N	13.1824
MIF	NA	NA	NA	NA	27.3341	0.9666601	NA	NA	NA	NA
MIF4GD	-0.18	39.95	Y	18.19	36.5100	0.7058728	-0.6332	22.9032	N	46.9345
MIGA1	-0.73	14.08	NA	17.29	71.4989	0.01939007	-0.5487	25.7771	N	59.2080
MIGA2	-0.04	50.45	NA	40.67	40.5088	0.1337599	0.1917	58.7195	N	56.1223
MIIP	0.69	85.24	NA	93.29	87.9369	0.990059	1.1667	89.3646	N	94.6043
MILR1	NA	NA	NA	NA	NA	NA	0.2280	60.3030	Y	NA
MINDY1	0.46	78.69	NA	72.63	25.9071	0.3280983	0.0327	51.0362	N	23.1517
MINDY2	-0.13	43.91	NA	54.89	91.8916	0.00846071	-0.2414	38.2698	N	88.0160
MINDY3	-0.91	9.9	NA	21.6	54.0155	0.004902055	-0.5894	24.3891	N	52.5965
MINDY4	2.25	98.21	NA	97.99	73.5785	0.7218	2.2299	97.8495	N	63.1274
MINK1	-1.46	3.86	NA	4.2	7.0077	1.26E-07	-1.4572	6.3245	N	4.7647
MINOS1	0.01	54.63	Y	54.68	99.2091	0.3710234	0.0927	53.9980	Y	74.3704
MINOS1-NBL1	NA	NA	NA	NA	20.7965	0.7705545	NA	NA	NA	NA
MINPP1	-0.63	17.03	NA	12.79	66.2445	0.06897076	-0.6111	23.6755	N	76.4720
MIOS	-0.95	9.21	NA	4.26	22.5774	0.001020893	-0.8844	16.1095	N	20.5234
MIOX	-0.2	39.11	NA	90.33	50.2157	0.9301845	1.2895	91.3099	N	98.7611
MIP	0.15	64.32	Y	41.02	45.5531	0.1292014	-0.2712	36.9501	N	37.8105
MIPEP	0.62	83.53	NA	94.21	79.9779	0.1011643	0.6689	77.6637	N	85.6365
MIPOL1	-0.71	14.5	NA	10.23	66.2998	0.1277355	-0.9629	13.9296	N	83.5697
MIS12	-0.12	44.89	Y	46.18	11.6538	0.4557111	-0.1229	43.5875	Y	17.8081
MIS18A	-0.1	46.49	Y	42.09	53.5564	0.4709939	-0.0191	48.4946	N	70.7347
MIS18BP1	1.74	96.64	NA	37.22	86.2611	0.002553131	-0.2242	39.0323	N	82.3945
MISP	-0.03	50.58	NA	97	75.1438	0.7926906	1.4174	92.8739	N	77.7109
MITD1	-0.1	46.49	Y	38.11	42.6770	0.5746901	-0.0575	46.6862	N	47.5192
MITF	-0.56	19.73	NA	30.01	66.2058	2.92E-05	-0.2209	39.1887	N	31.7721
MIXL1	NA	NA	NA	58.98	67.6217	0.9264213	NA	NA	NA	NA
MKI67	7.63	99.91	NA	99.78	76.7367	0.000265017	3.2776	99.2766	N	63.2606
MKKS	0.35	74.58	NA	37.83	55.8573	0.8847508	-0.3038	35.5718	N	48.3761
MKL1	-0.53	20.91	NA	73.44	35.2821	0.000149322	0.3344	64.9658	N	38.4357
MKL2	-1.55	3.27	NA	3.28	40.7577	3.82E-09	-1.5838	5.4448	N	37.0694
MKLN1	-0.43	25.15	Y	18.85	13.7334	4.11E-05	-0.7963	18.2111	N	21.6523
MKNK1	0.33	73.41	NA	41.1	78.2190	0.4227718	0.4434	69.5015	N	53.1813
MKNK2	-0.58	18.78	NA	51.2	37.1515	0.7242883	-0.0183	48.5337	N	60.1633
MKRN1	0.04	57.15	NA	41.35	32.1073	0.003730724	-0.4214	30.6549	N	98.4079
MKRN2	-0.67	15.62	NA	39.12	46.8308	0.02656208	-0.4472	29.5699	N	36.0215
MKRN2OS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MKRN3	-1.13	6.48	NA	13.27	68.5564	0.09209422	-0.8168	17.7126	N	44.7346
MKS1	-0.04	50.45	NA	72.4	56.8086	0.5020126	0.6522	77.1261	N	81.4219
MKX	0.66	84.44	NA	80.84	65.3595	0.03381127	0.4863	71.2317	N	69.3336
MLANA	-0.23	36.86	Y	66.35	67.2732	0.9993496	0.1395	56.2757	Y	57.3091
MLC1	0	53.85	NA	75.47	84.6184	0.6430563	0.6841	78.1916	N	77.7919
MLEC	-0.14	42.88	Y	36.97	7.2677	0.3558776	-0.1541	42.0919	Y	86.5628
MLF1	0.53	80.73	NA	81.45	82.7931	0.4372685	0.3186	64.2522	N	76.8193
MLF2	-0.36	28.63	Y	48.49	13.1305	0.05575085	-0.0887	45.2395	Y	65.9932
MLH1	0.51	80.3	NA	40.23	82.0465	7.65E-05	-0.3289	34.4379	N	44.2714
MLH3	1.86	97.16	NA	93.77	57.3064	0.000693634	1.0955	87.9570	N	70.8273
MLIP	0.24	69.51	NA	NA	79.7677	0.6882044	NA	NA	NA	NA
MLK4	NA	NA	NA	NA	77.1571	0.4390123	NA	NA	NA	NA
MLKL	0.96	90.15	NA	93.92	83.6394	0.6845378	1.2447	90.6256	N	88.0507
MLLT1	-0.62	17.31	NA	13.12	9.0985	0.003987217	-0.5967	24.1251	N	4.4462
MLLT10	-1.28	5.13	NA	4.83	24.2478	1.37E-08	-2.0178	3.0890	N	31.2916
MLLT11	0.04	56.25	Y	49.21	53.1858	0.4938379	-0.0712	46.0411	Y	75.8930
MLLT3	-0.36	28.93	NA	13.48	11.9414	0.000380904	-0.6936	21.1535	N	7.9836
MLLT6	-0.02	52.25	NA	8.63	17.4336	0.000183244	-1.5059	5.9824	N	21.4670
MLN	0.37	74.95	Y	66.99	39.2035	0.9215709	0.2535	61.4467	Y	69.0963
MLNR	NA	NA	NA	68.49	69.9502	0.7261271	0.1133	54.9756	N	92.1728
MLPH	0.49	79.62	NA	98.41	75.7522	0.04779994	1.8358	96.0606	N	93.7880
MLST8	-0.45	24.19	NA	12.28	4.6903	0.02393306	-0.8431	17.0968	N	21.8028
MLTK	NA	NA	NA	NA	44.5188	0.1499279	NA	NA	NA	NA
MLX	-0.01	53.19	Y	21.75	50.1438	0.1824963	-0.3324	34.2913	N	44.9719
MLXIP	NA	NA	NA	NA	15.5752	0.005382604	0.2313	60.4399	N	29.8790
MLXIPL	0.6	82.87	NA	44.39	51.2500	0.0184615	0.5951	75.1026	N	66.0221
MLYCD	NA	NA	NA	62.29	74.5188	0.5595902	0.1749	57.9277	N	66.5432
MMAA	-0.69	15.12	NA	14.21	73.9270	0.06361931	-0.8887	16.0313	N	70.1210
MMAB	0.33	73.41	NA	72	68.9159	0.6955023	0.2330	60.5181	N	87.4486
MMACHC	-0.13	43.91	NA	94.48	68.4735	0.7454775	1.2169	90.1760	N	49.3197
MMADHC	0.48	79.25	NA	68.19	83.5398	0.05761843	0.1616	57.3412	N	57.6970
MMD	-0.14	42.88	Y	24	14.7843	0.5193701	-0.4062	31.2512	Y	13.9987
MMD2	-0.63	17.03	NA	29.97	79.9226	0.3635509	-0.5207	26.7644	N	58.0501
MME	-0.69	15.32	NA	15.57	83.2688	0.0250517	-0.9426	14.4770	N	68.4884
MMEL1	-0.66	16.09	NA	87.99	79.8507	0.4330685	0.6469	76.9599	N	69.0731
MMGT1	0.08	59.43	Y	47.19	22.8263	0.5230706	-0.0986	44.8276	Y	10.3746
MMP1	0.73	86.27	NA	88.14	95.5918	0.9003343	1.2876	91.3001	N	81.3756
MMP10	1.14	92.3	NA	81.12	74.7069	0.8132333	0.6921	78.4848	N	78.7009
MMP11	-0.16	42.16	NA	84.42	66.3717	0.6405145	0.5712	74.2815	N	95.5711
MMP13	-0.96	9.17	NA	75.42	62.3064	0.2810895	0.2236	60.1173	N	82.2845
MMP14	0.05	57.48	NA	23.12	50.8518	0.000536236	-0.3209	34.8289	N	31.9400
MMP15	-0.66	16.02	NA	74.64	21.1283	0.008874631	0.8952	83.9394	N	28.9643
MMP16	-0.38	27.69	NA	12.08	8.9712	0.02878396	-0.8359	17.2141	N	5.5520
MMP17	-0.33	30.92	NA	53.48	85.9347	0.7949508	0.6819	78.1036	N	86.9855
MMP19	-0.13	44.03	NA	90.37	78.9159	0.8364053	1.0553	87.2825	N	94.8069
MMP2	-0.06	48.84	NA	6.87	37.8706	0.004671742	-1.0024	13.1574	N	40.7920
MMP20	1.42	94.97	NA	84.86	62.6217	0.6770549	0.2403	60.8504	N	59.4859
MMP21	-0.2	38.98	NA	53.18	55.0498	0.970812	0.1468	56.5787	N	62.9480
MMP23B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MMP24	-0.62	17.31	NA	33.96	24.0100	0.4493473	-0.1209	43.6950	N	27.4590
MMP25	-0.22	37.66	NA	62.47	76.7810	0.5330053	0.1662	57.5367	N	80.7850
MMP26	0.37	75.29	NA	80.2	65.4425	0.2547444	0.3426	65.2884	N	83.8245
MMP27	1.18	92.79	NA	94.52	54.5631	0.5454099	1.1892	89.8045	N	58.9880
MMP28	0.21	67.72	Y	67.64	97.5055	0.9905209	0.2532	61.4272	Y	95.6290
MMP3	-0.66	15.91	NA	71.02	53.4015	0.3974244	0.6366	76.6471	N	62.6701
MMP7	0.33	73.54	NA	75.02	55.0608	0.7289784	0.4464	69.6579	N	73.6815
MMP8	1.58	95.75	NA	93.97	48.4181	0.9700322	0.8332	82.6100	N	77.4909
MMP9	0.67	84.68	NA	62.13	94.0487	0.917027	0.3255	64.5552	N	77.2477
MMRN1	0.35	73.8	NA	39.29	69.1040	0.2946321	0.5083	72.0626	N	62.9016
MMRN2	-0.51	21.8	NA	7.77	87.9978	0.9103372	-0.7278	20.1662	N	93.4580
MMS19	-0.01	52.35	NA	33.88	37.1184	2.04E-05	-0.3117	35.2199	N	50.0434
MMS22L	0.32	72.83	NA	79.36	52.4226	2.60E-08	0.4892	71.3392	N	50.2055
MN1	NA	NA	NA	3.31	NA	NA	-1.3690	7.4096	N	NA
MNAT1	-0.14	43.29	Y	59.49	47.3396	0.9844137	-0.3568	33.3236	N	49.6266
MND1	-0.25	35.42	Y	76.33	97.0741	0.6132546	0.4684	70.5474	N	88.4154
MNDA	0.2	67.3	NA	60.04	78.3739	0.8055236	0.2080	59.4330	N	71.6783
MNS1	0.13	63.49	NA	23.94	65.4369	0.5425863	-0.0529	46.9110	N	55.2770
MNT	-0.76	13.45	NA	9.93	56.5819	0.00699776	-1.0427	12.2776	N	15.9613
MNX1	NA	NA	NA	NA	NA	NA	-0.4420	29.8045	Y	NA
MOAP1	0.64	83.9	NA	81.71	66.2500	0.5142156	0.4977	71.6618	N	52.3360
MOB1A	-0.01	52.85	Y	41.65	2.8319	0.07324978	-0.1127	44.0958	Y	2.6805
MOB1B	-0.21	38.28	Y	39.07	41.6648	0.5475329	-0.2241	39.0420	Y	40.1204
MOB2	-0.45	24	Y	57.98	20.6527	0.1377519	0.0151	50.1662	N	24.2054
MOB3A	-0.25	36.07	NA	53.32	95.2268	0.8392138	-0.1134	44.0567	N	90.0712
MOB3B	0.01	54.95	Y	30.5	16.7257	0.5657568	-0.3081	35.3666	Y	28.0843
MOB3C	0.75	86.57	NA	59.97	94.3363	0.4516025	-0.0065	49.1398	N	76.7209
MOB4	-0.01	52.85	Y	43.46	6.1062	0.2596451	-0.0100	48.9541	Y	4.7357
MOBP	0.04	56.25	Y	NA	12.5664	0.4852474	0.0356	51.1730	Y	16.1755
MOCOS	1.72	96.49	NA	83.47	64.4524	0.2234366	0.2290	60.3421	N	65.5763
MOCS1	0.11	62.1	NA	61.13	84.6460	0.1979228	0.1582	57.1652	N	71.0531
MOCS2	0.53	80.73	NA	77.88	97.1515	0.3611194	0.4468	69.6676	N	98.8016
MOCS3	-0.36	29.16	NA	27.83	58.5454	0.9205585	-0.1468	42.4242	N	47.7508
MOG	0.86	88.62	NA	60.87	74.9392	0.1194641	0.2060	59.3255	N	39.5936
MOGAT1	0.78	87.14	NA	83.51	46.0398	0.5892918	0.5475	73.4897	N	74.4746
MOGAT2	0.98	90.38	NA	82.53	53.0144	0.04841076	0.6442	76.9110	N	80.7387
MOGAT3	0.22	68.27	NA	88.13	53.0310	0.9876157	0.5658	74.1153	N	94.7490
MOGS	1.13	92.29	NA	54.25	46.4491	0.5610644	-0.0140	48.7292	N	51.5602
MOK	1.02	91.05	NA	57.96	83.7832	0.9864141	0.4202	68.4848	N	97.2385
MON1A	-0.58	18.72	NA	7.79	31.9303	0.4900085	-0.9590	14.0274	N	42.5577
MON1B	-0.91	10.07	NA	3.48	21.2113	0.02685588	-1.1545	10.3324	N	46.7956
MON2	-0.83	11.49	NA	5.2	37.3728	1.45E-07	-1.9193	3.4213	N	17.0439
MORC1	0.49	79.62	NA	47.71	26.8031	0.001385911	-0.1380	42.8348	N	28.1827
MORC2	-1.68	2.63	NA	2.11	13.5564	2.47E-06	-1.9973	3.1672	N	12.1982
MORC3	-0.71	14.57	NA	11.5	16.0454	3.06E-06	-0.8655	16.5396	N	12.4993
MORC4	-0.36	29.31	NA	26.18	25.0221	0.000202173	-0.1496	42.1630	N	23.6380
MORF4L1	-0.05	49.76	Y	29	16.3883	0.02393178	-0.4024	31.3685	N	11.7467
MORF4L2	-0.05	49.39	Y	24.11	10.6914	0.3579431	-0.3892	28.2132	Y	4.4289
MORN1	-0.08	47.15	NA	96.44	94.9558	0.5690028	1.5771	94.3793	N	99.5426
MORN2	0.39	75.75	NA	NA	NA	NA	NA	NA	NA	NA
MORN3	-0.12	45.13	NA	77.88	95.4591	0.9062929	0.3684	66.4027	N	91.8022
MORN4	-0.1	46.2	Y	54.63	47.5608	0.3231051	-0.0301	47.9081	Y	61.1011
MORN5	0.24	69.21	NA	65.57	94.7511	0.7585418	0.2148	59.7361	Y	91.3507
MOS	0.02	55.22	Y	34.99	72.3396	0.5258026	0.0034	49.5894	N	88.6354
MOSPD1	-0.01	52.85	Y	29.44	6.8529	0.07647265	-0.0875	45.7680	Y	7.7172
MOSPD2	-0.16	41.64	Y	28.55	34.2091	0.007331408	-0.6026	18.9655	N	21.9244
MOSPD3	0.08	60.09	Y	77.88	95.2931	0.6248682	-0.0149	48.6804	N	48.9145
MOV10	-1.68	2.65	NA	7.96	22.0022	7.11E-05	-1.1780	10.0098	N	17.0034
MOV10L1	-0.69	14.84	NA	4.51	57.8816	0.09907148	-0.3546	33.4604	N	54.2234
MOXD1	-0.8	12.46	NA	28.68	84.7124	0.4923845	0.0137	50.0880	N	90.4591
MPC1	0.26	69.83	NA	59.05	56.0398	0.6454157	0.1254	55.5914	Y	28.8543
MPC2	0.5	79.79	NA	49.48	89.3916	0.4633774	-0.0028	49.3255	Y	5.3552
MPDU1	0.44	77.7	NA	85.46	42.3451	0.302126	0.5806	74.5943	N	99.6468
MPDZ	1.39	94.64	NA	90.15	NA	NA	1.1831	89.7067	N	NA
MPEG1	0.16	64.96	NA	60.24	56.4215	0.803893	0.0244	50.6354	N	48.6482
MPG	-0.84	11.18	NA	75.13	44.1593	0.5892076	0.6940	78.5728	N	34.4352
MPHOSPH10	1.87	97.2	NA	97.59	57.6051	0.000282644	1.4314	93.0987	N	44.0630
MPHOSPH6	0.46	78.28	NA	77.6	57.6604	0.2602926	0.3315	64.8094	N	42.8414
MPHOSPH8	-0.24	36.23	NA	22.09	41.1283	0.000334318	-0.8985	15.6989	N	42.8762
MPHOSPH9	-0.21	37.74	NA	31.35	79.8728	0.001563938	-0.0330	47.8006	N	71.7826
MPI	-0.16	42.06	NA	64.92	82.3617	0.5440224	0.1270	55.6696	N	80.0903
MPIG6B	0.24	69.21	NA	82.14	64.3584	0.6951525	0.7373	79.9609	N	98.4137
MPL	-0.53	20.82	NA	79.66	91.5487	0.1981821	0.2434	60.9873	N	78.0119
MPLKIP	NA	NA	NA	NA	99.1427	0.929163	0.1083	54.7116	Y	98.0085
MPND	0.17	65.96	NA	81.58	71.6869	0.4756779	0.5917	74.9658	N	80.0266
MPO	-0.15	42.3	NA	57.65	50.2600	0.8803706	0.4389	69.3060	N	54.7676
MPP1	-0.18	40.16	NA	35.21	26.4878	0.02742655	0.1631	60.5016	N	19.9792
MPP2	-1.02	8	NA	13.17	22.6383	0.3166904	-1.1074	11.0362	N	27.5864
MPP3	-0.38	28.11	NA	31.66	32.2566	0.1890465	0.0795	53.3627	N	34.3484
MPP4	-0.46	23.57	NA	40.97	77.7268	0.2869968	-0.1327	43.1183	N	41.8225
MPP5	0.47	78.74	NA	24.7	20.1493	0.001336456	-0.5959	24.1740	N	17.3566
MPP6	-0.09	46.74	NA	26.74	7.3783	0.002399363	-0.5168	26.9013	N	9.3846
MPP7	-0.82	11.88	NA	34.34	48.4845	0.2069131	-0.2738	36.8622	N	46.9982
MPPE1	0.4	76.36	NA	76.21	64.7013	0.636713	0.4205	68.5044	N	52.3013
MPPED1	-0.58	18.44	NA	27.95	13.1748	0.2881476	-0.2670	37.1457	N	8.3193
MPPED2	-0.23	36.86	Y	21.55	12.7378	0.01726595	-0.5347	26.2757	N	11.2372
MPRIP	-1.3	4.93	NA	2.26	28.8330	0.000661056	-1.2331	9.2473	N	28.3274
MPST	NA	NA	NA	45.14	98.3628	0.8502584	-0.0788	45.6989	N	89.9265
MPV17	-0.27	33.97	Y	73.84	49.1869	0.9963468	0.1634	57.4194	Y	98.7263
MPV17L	NA	NA	NA	NA	54.8175	0.9824586	NA	NA	NA	NA
MPV17L2	0.04	56.64	Y	78.78	74.1980	0.9993496	0.2547	61.4663	Y	64.5921
MPZ	-0.21	38.28	Y	39.7	32.2400	0.1942026	-0.2754	36.7742	N	68.3784
MPZL1	-0.32	31.46	Y	24.81	65.4812	0.3619875	-0.6017	23.9589	N	77.9367
MPZL2	-0.05	50.01	NA	88.37	88.7942	0.9924621	1.0450	87.1065	N	63.7990
MPZL3	0.51	80.01	NA	61.06	52.2179	0.9712126	0.1247	55.5621	N	97.1169
MR1	0.49	79.38	NA	76.98	88.2190	0.7066915	0.1726	57.8299	N	80.4666
MRAP	0.37	75.29	NA	76.78	75.6195	0.3459962	0.5707	74.2620	N	77.8267
MRAP2	-0.23	36.86	Y	39.35	49.2367	0.8599185	-0.0959	44.9267	N	50.1592
MRAS	-0.14	42.88	Y	39.15	2.5719	0.1992652	-0.1697	41.3783	Y	2.6226
