CCDS_r9	CCDS_r11	CCDS_r12	CCDS_r14	CCDS_r15	RVIS_ExAC_0.05%(AnyPopn)	%RVIS_ExAC_0.05%(AnyPopn)	EdgeCase_EVS	OEratio%tile_EVS
GGA3	GGA3	GGA3	GGA3	GGA3	-0.365149165	26.12722116	N	41.85136112
MRPS7	MRPS7	MRPS7	MRPS7	MRPS7	-0.065330609	44.75314001	N	22.12117562
MIF4GD	MIF4GD	MIF4GD	MIF4GD	MIF4GD	-0.627257916	15.94605545	Y	90.24331486
SLC25A19	SLC25A19	SLC25A19	SLC25A19	SLC25A19	0.087599756	56.28870753	N	78.14984341
GRB2	GRB2	GRB2	GRB2	GRB2	-0.149930626	38.75094056	Y	1.312936642
CASKIN2	CASKIN2	CASKIN2	CASKIN2	CASKIN2	0.208413927	64.92446605	N	47.47651168
TSEN54	TSEN54	TSEN54	TSEN54	TSEN54	1.689048175	97.87578862	N	93.07998073
LLGL2	LLGL2	LLGL2	LLGL2	LLGL2	1.770520072	98.11888638	N	48.42206697
SAP30BP	SAP30BP	SAP30BP	SAP30BP	SAP30BP	-0.393703195	24.72072698	Y	33.92556011
ITGB4	ITGB4	ITGB4	ITGB4	ITGB4	-0.125781592	40.34844012	N	45.93471453
GALK1	GALK1	GALK1	GALK1	GALK1	-0.032448102	47.13781328	N	23.09684413
H3F3B	H3F3B	H3F3B	H3F3B	H3F3B	-0.019507464	47.94813914	Y	0.096362322
UNC13D	UNC13D	UNC13D	UNC13D	UNC13D	0.134183897	59.75574463	N	72.13322091
WBP2	WBP2	WBP2	WBP2	WBP2	-0.144188409	39.10979915	N	53.45699831
MRPL38	MRPL38	MRPL38	MRPL38	MRPL38	1.008884495	92.87492041	N	44.82052517
ACOX1	ACOX1	ACOX1	ACOX1	ACOX1	-0.441286593	22.67754819	N	43.32690918
CDK3	CDK3	CDK3	CDK3	CDK3	0.185138978	63.52375991	N	46.33823175
EVPL	EVPL	EVPL	EVPL	EVPL	0.712397123	87.20842739	N	76.28282342
SRP68	SRP68	SRP68	SRP68	SRP68	-0.284679206	30.37564392	N	32.04047218
GALR2	GALR2	GALR2	GALR2	GALR2	0.308057642	70.95560572	N	97.03083594
ZACN	ZACN	ZACN	ZACN	ZACN	0.748175766	88.07084563	N	84.34112262
EXOC7	EXOC7	EXOC7	EXOC7	EXOC7	-0.354925841	26.57868843	N	17.76680318
PRPSAP1	PRPSAP1	PRPSAP1	PRPSAP1	PRPSAP1	-0.626300493	15.98657174	Y	8.829197784
SPHK1	SPHK1	SPHK1	SPHK1	SPHK1	-0.430107764	23.15216762	N	61.99108649
AANAT	AANAT	AANAT	AANAT	AANAT	0.522779906	81.35092898	N	36.85256565
CYGB	CYGB	CYGB	CYGB	CYGB	-0.321544247	28.21670429	Y	30.69139966
ST6GALNAC2	ST6GALNAC2	ST6GALNAC2	ST6GALNAC2	ST6GALNAC2	0.082010267	55.87196851	N	37.73187184
ST6GALNAC1	ST6GALNAC1	ST6GALNAC1	ST6GALNAC1	ST6GALNAC1	0.192944613	64.01574347	N	85.43122139
SRSF2	SRSF2	SRSF2	SRSF2	SRSF2	-0.374065873	25.71627019	Y	2.017586124
MFSD11	MFSD11	MFSD11	MFSD11	MFSD11	-0.52397308	19.2683915	N	29.69766321
MGAT5B	MGAT5B	MGAT5B	MGAT5B	MGAT5B	-0.876332924	10.01910054	N	13.340159
SEC14L1	SEC14L1	SEC14L1	SEC14L1	SEC14L1	-0.954382307	8.647334607	N	21.26596001
SYNGR2	SYNGR2	SYNGR2	SYNGR2	SYNGR2	0.083772833	56.01666956	N	11.58154662
TK1	TK1	TK1	TK1	TK1	0.315412023	71.43022515	Y	29.43868947
BIRC5	BIRC5	BIRC5	BIRC5	BIRC5	0.559340178	82.74584708	N	73.5726331
SOCS3	SOCS3	SOCS3	SOCS3	SOCS3	-0.08048891	43.56080338	Y	7.967959528
TIMP2	TIMP2	TIMP2	TIMP2	TIMP2	0.087449076	56.25976732	Y	18.24259215
LGALS3BP	LGALS3BP	LGALS3BP	LGALS3BP	LGALS3BP	0.570969045	83.11049372	N	19.0496266
CANT1	CANT1	CANT1	CANT1	CANT1	0.199338946	64.3514499	N	39.53866538
C1QTNF1	C1QTNF1	C1QTNF1	C1QTNF1	C1QTNF1	-0.200384589	35.4691208	N	31.4562756
ENPP7	ENPP7	ENPP7	ENPP7	ENPP7	1.602970324	97.51114198	N	67.81498434
CBX2	CBX2	CBX2	CBX2	CBX2	-0.931725788	9.017769289	N	35.91905565
CBX8	CBX8	CBX8	CBX8	CBX8	0.066047521	54.62175146	N	50.04215852
TBC1D16	TBC1D16	TBC1D16	TBC1D16	TBC1D16	-0.209348123	34.97134919	N	32.32955914
EIF4A3	EIF4A3	EIF4A3	EIF4A3	EIF4A3	-0.507207153	19.92244024	N	1.523729222
CARD14	CARD14	CARD14	CARD14	CARD14	1.481316925	96.88024541	N	41.32136834
SGSH	SGSH	SGSH	SGSH	SGSH	1.085986995	93.8125832	N	17.90532402
SLC26A11	SLC26A11	SLC26A11	SLC26A11	SLC26A11	1.568322274	97.31434856	N	75.14454348
RNF213	RNF213	RNF213	RNF213	RNF213	-1.387567376	4.028477166	N	45.74801253
RPTOR	RPTOR	RPTOR	RPTOR	RPTOR	-2.567092114	0.920298663	N	10.62394604
CHMP6	CHMP6	CHMP6	CHMP6	CHMP6	-0.253059342	32.25675754	Y	4.523006504
BAIAP2	BAIAP2	BAIAP2	BAIAP2	BAIAP2	-0.961885913	8.519997685	N	5.480607083
ENTHD2	ENTHD2	ENTHD2	ENTHD2	ENTHD2	0.434803554	77.64079412	N	58.78101662
SLC38A10	SLC38A10	SLC38A10	SLC38A10	SLC38A10	0.267800601	68.54199224	N	45.70585401
TMEM105	TMEM105	TMEM105	TMEM105	TMEM105	0.679394134	86.39231348	N	92.73066731
ACTG1	ACTG1	ACTG1	ACTG1	ACTG1	-1.625266657	2.743531863	N	0.132498193
PDE6G	PDE6G	PDE6G	PDE6G	PDE6G	0.39603475	75.62655554	Y	23.22331968
HGS	HGS	HGS	HGS	HGS	-0.949600934	8.728367193	N	6.661045531
MRPL12	MRPL12	MRPL12	MRPL12	MRPL12	-0.327132777	27.8867859	Y	79.99277283
SLC25A10	SLC25A10	SLC25A10	SLC25A10	SLC25A10	0.102605765	57.4173757	N	30.1493616
P4HB	P4HB	P4HB	P4HB	P4HB	-0.437610849	22.86276553	N	27.69814503
ARHGDIA	ARHGDIA	ARHGDIA	ARHGDIA	ARHGDIA	-0.025096816	47.5834925	Y	2.174174898
ANAPC11	ANAPC11	ANAPC11	ANAPC11	ANAPC11	0.171896242	62.66134167	Y	72.83184775
PCYT2	PCYT2	PCYT2	PCYT2	PCYT2	-0.224807605	34.0336864	N	16.42375331
SIRT7	SIRT7	SIRT7	SIRT7	SIRT7	-0.25099172	32.42461075	N	12.780053
MAFG	MAFG	MAFG	MAFG	MAFG	0.016094318	50.71482318	Y	1.999518188
PYCR1	PYCR1	PYCR1	PYCR1	PYCR1	-0.387003268	25.10852579	N	23.42808962
ASPSCR1	ASPSCR1	ASPSCR1	ASPSCR1	ASPSCR1	-0.403621272	24.19401516	N	32.81137075
LRRC45	LRRC45	LRRC45	LRRC45	LRRC45	-0.64402392	15.57562077	N	40.3276319
RAC3	RAC3	RAC3	RAC3	RAC3	-0.410624002	23.91618915	Y	7.64273669
DCXR	DCXR	DCXR	DCXR	DCXR	0.414865996	76.60473462	Y	18.14020718
GPS1	GPS1	GPS1	GPS1	GPS1	-0.435697089	22.93222203	N	11.41291255
FASN	FASN	FASN	FASN	FASN	-1.948069535	1.776928865	N	22.10913033
SLC16A3	SLC16A3	SLC16A3	SLC16A3	SLC16A3	-0.471299039	21.3810268	N	26.02384967
CSNK1D	CSNK1D	CSNK1D	CSNK1D	CSNK1D	-0.5831962	17.28888117	N	2.649963864
CD7	CD7	CD7	CD7	CD7	0.657839783	85.8424495	N	36.49722958
SECTM1	SECTM1	SECTM1	SECTM1	SECTM1	0.419647726	76.80731608	N	24.78318477
TEX19	TEX19	TEX19	TEX19	TEX19	0.352927885	73.57180066	N	81.26355095
C17orf101	OGFOD3	OGFOD3	OGFOD3	OGFOD3	0.821295921	89.5583724	N	Unassessed
FOXK2	FOXK2	FOXK2	FOXK2	FOXK2	-0.282615149	30.51455693	N	14.01469525
WDR45L	WDR45L	WDR45B	WDR45B	WDR45B	-0.467776875	21.53730393	N	48.89183329
RAB40B	RAB40B	RAB40B	RAB40B	RAB40B	-0.260408668	31.84580656	N	16.11659841
FN3KRP	FN3KRP	FN3KRP	FN3KRP	FN3KRP	0.605463152	84.30861839	N	73.98819562
FN3K	FN3K	FN3K	FN3K	FN3K	-0.14882052	38.83197314	N	78.30643219
ZNF750	ZNF750	ZNF750	ZNF750	ZNF750	0.227741635	66.1052266	N	73.15707059
CETN1	CETN1	CETN1	CETN1	CETN1	-0.071071979	44.35376512	Y	25.46976632
TYMS	TYMS	TYMS	TYMS	TYMS	-0.170525669	37.3618105	Y	14.89400145
ENOSF1	ENOSF1	ENOSF1	ENOSF1	ENOSF1	0.208755511	64.98813451	N	67.14647073
YES1	YES1	YES1	YES1	YES1	-0.023031474	47.74555768	N	44.33269092
ADCYAP1	ADCYAP1	ADCYAP1	ADCYAP1	ADCYAP1	-0.003544497	49.14626382	Y	31.76945314
METTL4	METTL4	METTL4	METTL4	METTL4	-0.059589522	45.15830295	N	39.04480848
NDC80	NDC80	NDC80	NDC80	NDC80	-0.823146294	11.10725242	N	27.10190316
EMILIN2	EMILIN2	EMILIN2	EMILIN2	EMILIN2	0.304841601	70.77038838	N	66.15273428
LPIN2	LPIN2	LPIN2	LPIN2	LPIN2	-0.770327084	12.18961625	N	38.97855938
MYL12A	MYL12A	MYL12A	MYL12A	MYL12A	-0.088948948	42.87202639	Y	6.046735726
MYL12B	MYL12B	MYL12B	MYL12B	MYL12B	-0.021421177	47.83816635	Y	1.577933028
TGIF1	TGIF1	TGIF1	TGIF1	TGIF1	0.305337941	70.81090467	N	48.40399904
DLGAP1	DLGAP1	DLGAP1	DLGAP1	DLGAP1	-2.164566437	1.354401806	N	32.83546133
ZFP161	ZFP161	ZBTB14	ZBTB14	ZBTB14	-0.846768806	10.63263298	N	2.138039027
EPB41L3	EPB41L3	EPB41L3	EPB41L3	EPB41L3	-0.358308745	26.37610696	N	57.65478198
L3MBTL4	L3MBTL4	L3MBTL4	L3MBTL4	L3MBTL4	-0.013463392	48.46327487	N	60.66610455
PTPRM	PTPRM	PTPRM	PTPRM	PTPRM	-2.004799084	1.632227817	N	21.66345459
SOGA2	SOGA2	SOGA2	SOGA2	SOGA2	0.999110267	92.74179545	N	75.02409058
NDUFV2	NDUFV2	NDUFV2	NDUFV2	NDUFV2	0.021835061	51.22417086	Y	81.19127921
ANKRD12	ANKRD12	ANKRD12	ANKRD12	ANKRD12	-1.855347252	2.031602709	N	40.48422067
TWSG1	TWSG1	TWSG1	TWSG1	TWSG1	-0.108587205	41.55814088	Y	25.85521561
RALBP1	RALBP1	RALBP1	RALBP1	RALBP1	-0.771579694	12.14909996	N	34.54589256
TXNDC2	TXNDC2	TXNDC2	TXNDC2	TXNDC2	0.469600161	79.30775019	N	55.03493134
VAPA	VAPA	VAPA	VAPA	VAPA	-0.265193969	31.55061643	N	34.88918333
APCDD1	APCDD1	APCDD1	APCDD1	APCDD1	-0.274305776	31.04126874	N	27.1741749
GNAL	GNAL	GNAL	GNAL	GNAL	-0.464103204	21.6993691	Y	6.251505661
MPPE1	MPPE1	MPPE1	MPPE1	MPPE1	0.295921468	70.25525265	N	75.51192484
IMPA2	IMPA2	IMPA2	IMPA2	IMPA2	0.069723511	54.87642531	N	90.66490002
CIDEA	CIDEA	CIDEA	CIDEA	CIDEA	0.389635172	75.36030561	N	41.36954951
TUBB6	TUBB6	TUBB6	TUBB6	TUBB6	-0.698460933	13.95496903	N	11.37075404
AFG3L2	AFG3L2	AFG3L2	AFG3L2	AFG3L2	-1.305298336	4.659373734	N	27.18622019
SLMO1	SLMO1	SLMO1	SLMO1	SLMO1	-0.057022786	45.34352029	Y	37.60539629
CEP76	CEP76	CEP76	CEP76	CEP76	-0.263127019	31.65480118	N	45.65767285
PSMG2	PSMG2	PSMG2	PSMG2	PSMG2	0.219784433	65.64218325	N	23.16309323
PTPN2	PTPN2	PTPN2	PTPN2	PTPN2	0.418691306	76.76679979	N	18.73644905
FAM210A	FAM210A	FAM210A	FAM210A	FAM210A	-0.014723262	48.28963362	Y	48.81353891
RNMT	RNMT	RNMT	RNMT	RNMT	0.263995952	68.32783469	Y	75.24692845
MC5R	MC5R	MC5R	MC5R	MC5R	-0.343899023	27.05330787	N	23.9460371
MC2R	MC2R	MC2R	MC2R	MC2R	0.26862913	68.62881287	N	29.95663695
ROCK1	ROCK1	ROCK1	ROCK1	ROCK1	-1.011542625	7.703883776	N	10.74439894
MIB1	MIB1	MIB1	MIB1	MIB1	-2.169339022	1.331249638	N	12.56323777
GATA6	GATA6	GATA6	GATA6	GATA6	-0.224807605	34.0336864	Unassessed	Unassessed
RBBP8	RBBP8	RBBP8	RBBP8	RBBP8	-1.218784869	5.400243098	N	49.42182607
TMEM241	TMEM241	TMEM241	TMEM241	TMEM241	0.433697636	77.55976153	N	87.68971332
RIOK3	RIOK3	RIOK3	RIOK3	RIOK3	-0.425475634	23.3142328	N	88.12334377
NPC1	NPC1	NPC1	NPC1	NPC1	-0.669636144	14.75950686	N	41.15273428
ANKRD29	ANKRD29	ANKRD29	ANKRD29	ANKRD29	-0.119765437	40.78833131	N	69.92893279
LAMA3	LAMA3	LAMA3	LAMA3	LAMA3	0.505898344	80.6910922	N	61.34666345
CABYR	CABYR	CABYR	CABYR	CABYR	-0.245402639	32.7487411	N	51.99349554
OSBPL1A	OSBPL1A	OSBPL1A	OSBPL1A	OSBPL1A	-0.622170946	16.11969671	N	57.87761985
IMPACT	IMPACT	IMPACT	IMPACT	IMPACT	0.617600446	84.70220524	N	98.36786317
HRH4	HRH4	HRH4	HRH4	HRH4	0.036035566	52.3065347	N	68.55576969
KCTD1	KCTD1	KCTD1	KCTD1	KCTD1	-0.282114394	30.53770909	Y	30.47458444
AQP4	AQP4	AQP4	AQP4	AQP4	-0.374868313	25.69311802	N	73.65092749
CDH2	CDH2	CDH2	CDH2	CDH2	-1.266676339	4.971927997	N	37.93664177
DSC2	DSC2	DSC2	DSC2	DSC2	-0.603339807	16.62904439	N	79.86629728
DSC1	DSC1	DSC1	DSC1	DSC1	0.598422958	84.05973259	N	59.07612623
DSG1	DSG1	DSG1	DSG1	DSG1	0.6332263	85.13630839	N	80.11924837
DSG4	DSG4	DSG4	DSG4	DSG4	0.858495013	90.3455461	N	79.15562515
DSG3	DSG3	DSG3	DSG3	DSG3	-0.242081466	32.91080627	N	67.91736931
TTR	TTR	TTR	TTR	TTR	0.314455675	71.33761648	N	89.94820525
B4GALT6	B4GALT6	B4GALT6	B4GALT6	B4GALT6	-0.255776741	32.13520866	N	18.47747531
TRAPPC8	TRAPPC8	TRAPPC8	TRAPPC8	TRAPPC8	-1.284156203	4.815650865	N	37.82221152
RNF125	RNF125	RNF125	RNF125	RNF125	0.51527665	81.07889101	N	54.10142134
RNF138	RNF138	RNF138	RNF138	RNF138	0.116504775	58.48816345	Y	2.595760058
FAM59A	GAREM	GAREM	GAREM	GAREM	-0.582742031	17.31782138	N	Unassessed
C18orf34	CCDC178	CCDC178	CCDC178	CCDC178	0.767166977	88.48758465	N	Unassessed
NOL4	NOL4	NOL4	NOL4	NOL4	-1.103649308	6.505759102	N	6.697181402
DTNA	DTNA	DTNA	DTNA	DTNA	-0.467472441	21.55466806	N	38.02698145
MAPRE2	MAPRE2	MAPRE2	MAPRE2	MAPRE2	-0.071071979	44.35376512	Y	1.415321609
ZNF24	ZNF24	ZNF24	ZNF24	ZNF24	0.113784984	58.30294611	Y	70.23006504
ZNF396	ZNF396	ZNF396	ZNF396	ZNF396	0.290181792	69.94269839	N	98.97012768
INO80C	INO80C	INO80C	INO80C	INO80C	0.022791848	51.2704752	Y	67.42351241
GALNT1	GALNT1	GALNT1	GALNT1	GALNT1	-0.746352589	12.73369219	Y	17.64635028
C18orf21	C18orf21	C18orf21	C18orf21	C18orf21	0.202865163	64.54245529	Y	84.22066972
RPRD1A	RPRD1A	RPRD1A	RPRD1A	RPRD1A	-0.440636427	22.72385252	Y	4.270055408
ELP2	ELP2	ELP2	ELP2	ELP2	-0.158739832	38.11425595	N	84.53384727
MOCOS	MOCOS	MOCOS	MOCOS	MOCOS	0.461449991	78.89101117	N	49.84341123
PIK3C3	PIK3C3	PIK3C3	PIK3C3	PIK3C3	-1.604518338	2.818776408	N	30.71549024
RIT2	RIT2	RIT2	RIT2	RIT2	-0.245556279	32.71401285	Y	23.25945555
SYT4	SYT4	SYT4	SYT4	SYT4	-0.176918638	36.94507148	Y	75.01204529
SETBP1	SETBP1	SETBP1	SETBP1	SETBP1	-0.793385396	11.69184465	N	26.36714045
SLC14A2	SLC14A2	SLC14A2	SLC14A2	SLC14A2	0.239228122	66.79979163	N	71.66947723
SLC14A1	SLC14A1	SLC14A1	SLC14A1	SLC14A1	0.833433098	89.87092667	N	63.24981932
EPG5	EPG5	EPG5	EPG5	EPG5	0.885016194	90.82595358	N	70.45290291
ATP5A1	ATP5A1	ATP5A1	ATP5A1	ATP5A1	-0.189053899	36.22156624	N	32.23921947
HAUS1	HAUS1	HAUS1	HAUS1	HAUS1	0.054717474	53.7014528	N	43.15225247
ST8SIA5	ST8SIA5	ST8SIA5	ST8SIA5	ST8SIA5	-0.411426546	23.88724894	N	17.79691641
TCEB3B	TCEB3B	TCEB3B	TCEB3B	TCEB3B	1.25907294	95.50269144	N	95.25415563
IER3IP1	IER3IP1	IER3IP1	IER3IP1	IER3IP1	0.001088113	49.55142675	Y	56.80558901
SMAD2	SMAD2	SMAD2	SMAD2	SMAD2	-0.621669727	16.13127279	Y	2.927005541
CTIF	CTIF	CTIF	CTIF	CTIF	-0.46092589	21.86143428	N	26.46350277
SMAD7	SMAD7	SMAD7	SMAD7	SMAD7	-0.36273366	26.21404179	Unassessed	Unassessed
DYM	DYM	DYM	DYM	DYM	-0.816449514	11.27510563	N	63.43049868
LIPG	LIPG	LIPG	LIPG	LIPG	0.292245427	70.07003531	N	33.51602024
ACAA2	ACAA2	ACAA2	ACAA2	ACAA2	-0.222893607	34.16102333	N	48.16309323
CCDC11	CCDC11	CCDC11	CCDC11	CCDC11	0.090621427	56.49707704	N	69.27246447
MBD1	MBD1	MBD1	MBD1	MBD1	-1.134471937	6.204780923	N	31.65502289
CXXC1	CXXC1	CXXC1	CXXC1	CXXC1	-1.442287742	3.715922903	N	9.630209588
SKA1	SKA1	SKA1	SKA1	SKA1	0.082816117	55.93563697	N	38.25584197
MRO	MRO	MRO	MRO	MRO	0.358666204	73.88435492	N	77.02360877
ME2	ME2	ME2	ME2	ME2	-0.006111899	49.02471494	N	58.03420862
ELAC1	ELAC1	ELAC1	ELAC1	ELAC1	-0.095342599	42.403195	Y	90.78535293
SMAD4	SMAD4	SMAD4	SMAD4	SMAD4	-0.179789518	36.75985414	N	4.276078053
MEX3C	MEX3C	MEX3C	MEX3C	MEX3C	-0.347727532	26.88545465	N	8.371476753
DCC	DCC	DCC	DCC	DCC	-0.65831326	15.06627308	N	33.35340882
MBD2	MBD2	MBD2	MBD2	MBD2	-0.402163571	24.28662384	Y	17.26090099
POLI	POLI	POLI	POLI	POLI	1.215466464	95.20171326	N	88.99060467
STARD6	STARD6	STARD6	STARD6	STARD6	0.529327004	81.64033108	N	65.5685377
C18orf54	C18orf54	C18orf54	C18orf54	C18orf54	0.697415576	86.86114487	N	60.44928933
C18orf26	DYNAP	DYNAP	DYNAP	DYNAP	0.18881556	63.69161313	N	Unassessed
RAB27B	RAB27B	RAB27B	RAB27B	RAB27B	0.211324798	65.16756381	Y	44.52541556
CCDC68	CCDC68	CCDC68	CCDC68	CCDC68	0.171089591	62.59767321	N	97.38617201
TCF4	TCF4	TCF4	TCF4	TCF4	-0.705964203	13.78132778	N	2.860756444
TXNL1	TXNL1	TXNL1	TXNL1	TXNL1	-0.198623704	35.57909359	Y	17.77884847
WDR7	WDR7	WDR7	WDR7	WDR7	-1.454028282	3.623314233	N	29.76993496
FECH	FECH	FECH	FECH	FECH	0.171089591	62.59767321	N	28.21006986
ATP8B1	ATP8B1	ATP8B1	ATP8B1	ATP8B1	-0.103198421	41.9054234	N	46.38641291
ALPK2	ALPK2	ALPK2	ALPK2	ALPK2	2.025851938	98.61086994	N	82.10069863
MALT1	MALT1	MALT1	MALT1	MALT1	-0.180594035	36.70776176	N	54.9626596
ZNF532	ZNF532	ZNF532	ZNF532	ZNF532	-2.079018627	1.493314812	N	23.47024813
SEC11C	SEC11C	SEC11C	SEC11C	SEC11C	0.14651721	60.7454998	Y	13.68344977
GRP	GRP	GRP	GRP	GRP	0.448557666	78.28905481	Unassessed	Unassessed
CPLX4	CPLX4	CPLX4	CPLX4	CPLX4	0.071486219	54.9863981	Y	84.58805107
LMAN1	LMAN1	LMAN1	LMAN1	LMAN1	-0.58863046	17.126816	N	26.00578174
PMAIP1	PMAIP1	PMAIP1	PMAIP1	PMAIP1	0.218679327	65.57851479	Unassessed	Unassessed
MC4R	MC4R	MC4R	MC4R	MC4R	-0.205016781	35.17393066	N	48.54251987
CDH20	CDH20	CDH20	CDH20	CDH20	-0.834178931	10.89888291	N	42.14647073
RNF152	RNF152	RNF152	RNF152	RNF152	-0.220175737	34.30572437	N	15.71308119
KIAA1468	KIAA1468	KIAA1468	KIAA1468	KIAA1468	-0.450553088	22.24344504	N	18.50156589
TNFRSF11A	TNFRSF11A	TNFRSF11A	TNFRSF11A	TNFRSF11A	-0.036123783	46.87156335	N	73.59672368
BCL2	BCL2	BCL2	BCL2	BCL2	-0.092624171	42.6520808	Y	28.45097567
KDSR	KDSR	KDSR	KDSR	KDSR	-0.589741923	17.07472362	Y	84.13033004
VPS4B	VPS4B	VPS4B	VPS4B	VPS4B	0.116655069	58.50552758	N	17.0621537
SERPINB12	SERPINB12	SERPINB12	SERPINB12	SERPINB12	0.493871825	80.23962493	N	82.99205011
SERPINB13	SERPINB13	SERPINB13	SERPINB13	SERPINB13	0.425387042	77.11408231	N	68.28475066
SERPINB4	SERPINB4	SERPINB4	SERPINB4	SERPINB4	0.359772785	73.92487122	N	73.6388822
SERPINB3	SERPINB3	SERPINB3	SERPINB3	SERPINB3	1.156239112	94.56502865	N	86.286437
SERPINB7	SERPINB7	SERPINB7	SERPINB7	SERPINB7	-0.045540401	46.17121028	N	67.64635028
SERPINB2	SERPINB2	SERPINB2	SERPINB2	SERPINB2	0.480778977	79.78236962	N	35.06384004
SERPINB10	SERPINB10	SERPINB10	SERPINB10	SERPINB10	0.948855468	91.99513804	N	60.88291978
SERPINB8	SERPINB8	SERPINB8	SERPINB8	SERPINB8	0.107389526	57.79938647	N	88.91231029
CDH7	CDH7	CDH7	CDH7	CDH7	-1.452514503	3.640678359	N	19.4772344
CDH19	CDH19	CDH19	CDH19	CDH19	0.123656278	59.02645135	N	84.3652132
DSEL	DSEL	DSEL	DSEL	DSEL	-0.195149556	35.81061527	N	73.90387858
CCDC102B	CCDC102B	CCDC102B	CCDC102B	CCDC102B	1.066193793	93.58106153	N	86.4189352
CD226	CD226	CD226	CD226	CD226	0.610097161	84.49383574	N	81.91399663
SOCS6	SOCS6	SOCS6	SOCS6	SOCS6	-0.716185569	13.49771372	N	14.80968441
CBLN2	CBLN2	CBLN2	CBLN2	CBLN2	-0.155519548	38.35156567	Y	1.343049868
NETO1	NETO1	NETO1	NETO1	NETO1	-0.182507799	36.58042484	N	23.41604433
TIMM21	TIMM21	TIMM21	TIMM21	TIMM21	0.153213524	61.2432714	N	67.1163575
CYB5A	CYB5A	CYB5A	CYB5A	CYB5A	0.026467762	51.52514904	Y	17.38135389
CNDP2	CNDP2	CNDP2	CNDP2	CNDP2	-0.214281688	34.66458297	N	68.77258492
CNDP1	CNDP1	CNDP1	CNDP1	CNDP1	0.257600888	67.89373155	N	73.47627078
ZADH2	ZADH2	ZADH2	ZADH2	ZADH2	-0.144992854	39.06349482	N	78.69188147
TSHZ1	TSHZ1	TSHZ1	TSHZ1	TSHZ1	-1.469038263	3.513341437	N	26.48759335
MBP	MBP	MBP	MBP	MBP	0.406554426	76.19378364	N	89.06889906
GALR1	GALR1	GALR1	GALR1	GALR1	-0.102845596	41.94593969	N	88.26186461
SALL3	SALL3	SALL3	SALL3	SALL3	-0.435111858	22.94379811	Unassessed	Unassessed
ATP9B	ATP9B	ATP9B	ATP9B	ATP9B	-1.626647731	2.737743821	N	35.98530475
NFATC1	NFATC1	NFATC1	NFATC1	NFATC1	0.263809768	68.25259015	N	20.13370272
CTDP1	CTDP1	CTDP1	CTDP1	CTDP1	-0.424217888	23.37790126	N	19.35075885
KCNG2	KCNG2	KCNG2	KCNG2	KCNG2	-0.260408668	31.84580656	Unassessed	Unassessed
PQLC1	PQLC1	PQLC1	PQLC1	PQLC1	-0.426432699	23.27950454	N	31.11298482
RBFA	RBFA	RBFA	RBFA	RBFA	0.544480852	82.23071135	N	93.00168634
PARD6G	PARD6G	PARD6G	PARD6G	PARD6G	-0.31116943	28.88232911	N	5.884124307
PPAP2C	PPAP2C	PPAP2C	PPAP2C	PPAP2C	0.330566867	72.36788794	N	68.70633582
THEG	THEG	THEG	THEG	THEG	1.734225362	97.9973375	N	51.75258974
CDC34	CDC34	CDC34	CDC34	CDC34	-0.356187814	26.51501997	N	3.697904119
GZMM	GZMM	GZMM	GZMM	GZMM	1.071637256	93.65051803	N	68.71838111
BSG	BSG	BSG	BSG	BSG	-0.542654523	18.49279389	N	19.2905324
HCN2	HCN2	HCN2	HCN2	HCN2	-1.850415661	2.037390751	Unassessed	Unassessed
POLRMT	POLRMT	POLRMT	POLRMT	POLRMT	0.041732742	52.67696938	N	18.78463021
PRSS57	PRSS57	PRSS57	PRSS57	PRSS57	0.448703989	78.31799502	N	76.09009877
C19orf21	C19orf21	MISP	MISP	MISP	1.417444011	96.46929444	N	48.90990123
AZU1	AZU1	AZU1	AZU1	AZU1	0.504095467	80.61584766	N	70.87448808
ELANE	ELANE	ELANE	ELANE	ELANE	0.253623009	67.679574	N	54.88436521
MED16	MED16	MED16	MED16	MED16	-2.245968758	1.221276842	N	7.209106239
R3HDM4	R3HDM4	R3HDM4	R3HDM4	R3HDM4	-0.065330609	44.75314001	N	79.06528547
ARID3A	ARID3A	ARID3A	ARID3A	ARID3A	-0.341984971	27.1690687	N	17.8089617
WDR18	WDR18	WDR18	WDR18	WDR18	-0.003392975	49.1578399	N	83.41965791
CNN2	CNN2	CNN2	CNN2	CNN2	0.235897236	66.56248191	N	68.43531679
ABCA7	ABCA7	ABCA7	ABCA7	ABCA7	2.403998151	99.09706546	N	82.73909901
POLR2E	POLR2E	POLR2E	POLR2E	POLR2E	-0.006263422	49.00156277	N	52.26451457
C19orf26	C19orf26	C19orf26	C19orf26	C19orf26	0.142185434	60.35191295	N	Unassessed
CIRBP	CIRBP	CIRBP	CIRBP	CIRBP	-0.199580796	35.52700122	Y	8.184774753
EFNA2	EFNA2	EFNA2	EFNA2	EFNA2	-0.283071606	30.49140476	Unassessed	Unassessed
MUM1	MUM1	MUM1	MUM1	MUM1	0.173154201	62.77710251	N	14.30980487
NDUFS7	NDUFS7	NDUFS7	NDUFS7	NDUFS7	0.241337169	66.9618568	Y	10.94314623
GAMT	GAMT	GAMT	GAMT	GAMT	0.448703989	78.31799502	N	90.11683932
DAZAP1	DAZAP1	DAZAP1	DAZAP1	DAZAP1	-0.791372557	11.73236094	N	1.331004577
